,name,demographic
0,author,US_35-44_female
1,@kakskakumbi6856,
2,@bigzzgub8244,
3,@KeremKemow,
4,@rogerparker9228,
5,@chidikesamuelson9432,
6,@tyrannusrex8906,
7,@its_YZee,PH_25-34_female
8,@SparkiiSpark,
9,@Papa_junior-1987,GH_35-44_male
10,@KestonNGUBO,
11,@DolFunVtuber,
12,@johnpickford5523,
13,@Afrowhite_gooner,ID__
14,@berlin_7301,DE_45-54_female
15,@grgpuzan5205,
16,@Afrowhite_gooner,ID__
17,@christophehuet5944,
18,@danielnowak2958,
19,@santemedical6802,
20,@jonnyhawkins7744,
21,@spookybizzle,
22,@uchempu352,
23,@Ebi.Adonkie,NG_35-44_male
24,@just.everythings11,UA_25-34_female
25,@just.everythings11,UA_25-34_female
26,@Erdovanne,
27,@psalmkaris741,
28,@just.everythings11,UA_25-34_female
29,@awtachewraya2890,
30,@sinovicks3768,
31,@nicolasosheridan7183,
32,@brianwahinya1245,
33,@KiyetoJakhalu-h7l,
34,@peter-andreaskamphausen1580,
35,@KiyetoJakhalu-h7l,
36,@vagaru,
37,@ImanuelNakwakiru,
38,@ray-c7n4e,
39,@Allison-s6p,US_25-34_female
40,@jackywong5091,
41,@jetlifari,
42,@imisskahi,
43,@kovaci0000007,AL__
44,@DavidBroadley-tw7ks,
45,@grandefrppc,
46,@bd9531,BD_25-34_male
47,@gayamotor1825,
48,@lignbanal,
49,@paulie4450,US_35-44_female
50,@Amir00076,IR_25-34_male
51,@asset1014,KZ_35-44_male
52,@Ulfairah03,
53,@Arrowhead707,PK_55-64_male
54,@Carlytongid,
55,@aricodestiny9979,
56,@prajwalbhattarai5276,
57,@chrislamb25,
58,@EmaLee418,US_25-34_female
59,@subhasgram,
60,@peterstylianou3827,
61,@tioeurico,
62,@Firdosax3h,
63,@mwevin,
64,@Belacak,BN__
65,@dandarigarcez,
66,@muhammadhanif4113,PK__
67,@aneeshvarghese9200,
68,@45-guanghimpougonmei44,
69,@angeleechae,
70,@44andye,MX_35-44_
