Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@Ceferino-ws4pe,Ánimo chicas ustedes son las mejores águilas rarara,0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@JorgeGarcia-mf1wn,La femenil y las inferiores deberían ser opcional en México porque por culpa de estas categorías los equipos chicos no pueden ascender y por eso quitaron ascenso y descenso aparte de que el femenil del américa solo es causa de vergüenza para la afición 2 títulos desde que inició esta categoría en una liga de 3 equipos buenos,0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@Slade2332,Usen puros Mexicanos,0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@Slade2332,Que maña de hablar puro ingles. Estan en Mexico hablen espanol. Bola de pochas y extranjeras,0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@Slade2332,Hablen español mestizas!!,0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@JorgeTovar-zn2kk,Y las refuerzos,0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@zolo09,"La Verdad, este equipo ya decepciona,  todos los demás con refuerzos y ya entrenando, y america con medio equipo lastimado y dejando ir a jugadoras como Mauleon o Enciso peor aun sin un solo refuerzo hasta hoy, estando a poco del inicio del torneo,  al chile ya aburren con su falta de jugadoras de calidad y compromiso y con sus tonterías de traer refuerzos a medio torneo. Ya chile con todo eso...",0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@clonevector,🎉🎉,0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@enriquefernandezlopez9152,"El equipo de Preparación física y Médico es una sección que deberían haber considerado cambiar o mejorar, fueron demasiadas lesionadas por mala preparación y valoración de las mismas  😠",3,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@jcgulias2840,"Camara, pero si hay una más lesionada 
Que los corran a todos y primero al campita villita
Ni UNA MAS LESIONADA",4,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@Sup3rtr4mp,Bueno verlas de regreso ❤❤❤,0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@jesuscota9563,"Otra muerta es kiana, ya no le mete gol no al arcoiris",0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@jesuscota9563,"Villacampa es un pendejo .. experimentos con camberos y Sarah a lo pendejo, a Saldivar no le saca provecho y es la primera que cambia, ahí se acaba el equipo cuando la saca ..",0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@jesuscota9563,"K8mberly parece muerta al momento de defender, increíble que se haya marchado sabrina y quedado kimberly, increíble.. tienen 5 lesionadas y salieron 4 que eran titulares .. la liga empieza en 3 semanas y no hay jugadoras nuevas, otra vez a regalar puntos a lo pendejo al inicio del torneo.. a lo pendejo",0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@JuanTeran-d5w,Se bien otro torneo peor que el que se acabó,0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@OMARRIVERASANCHEZ,Hubiera salido mejor del Club Karina Rodríguez y no Sabrina Enciso! :'),0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@HUG01992-i,Cómo salieron del examen de bailes???,0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@AlbertoRivera_8,"*FUERA VILLACAMPA, FUERA VILLACAMPA...FUERAAAAA NO MAMEN NI QUE LAS LESCIONES FUERAN EXCLUSIVAS DE AMÉRICA MIENTRAS EN AMÉRICA  ENTREGAN EXCUSAS EN OTROS EQUIPOS TÍTULOS CHE EQUIPO DE PERDEDORAS*",1,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@CharlyLozano19,Y Carreon cuando va a traer un refuerzo antes de la jornada 10 es una inepta.,0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@reminacult,Ya llegaron los preparadores fisicos de verdad no los ineptos que estaban antes,0,América Femenil
Estamos de regreso en Coapa | Días de pruebas físicas y médicas | América Femenil en camino al AP25,663,29524,63,@Luismx686,El detalle es que ocupan cambiar a los preparadores físicos tmbn tiene mucho que ver esa falla tan notoria en últimas instancias se lesionan siempre no sirve hacer un temporadon si al último llega la mayoría de las titulares lesionadas,1,América Femenil
