Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel
Juventus Takes Over America 🇺🇸 With ‪@BenBlack10‬ | EP.3 | NEW YORK · ORLANDO,204,1091,19,@MichaelShenton-e2k,❤❤❤❤,0,Juventus
Juventus Takes Over America 🇺🇸 With ‪@BenBlack10‬ | EP.3 | NEW YORK · ORLANDO,204,1091,19,@MichaelShenton-e2k,😊😊,0,Juventus
Juventus Takes Over America 🇺🇸 With ‪@BenBlack10‬ | EP.3 | NEW YORK · ORLANDO,204,1091,19,@princextreme88,forza juve,0,Juventus
Juventus Takes Over America 🇺🇸 With ‪@BenBlack10‬ | EP.3 | NEW YORK · ORLANDO,204,1091,19,@Ovunque-u3p,Forza Ragazzi,0,Juventus
Juventus Takes Over America 🇺🇸 With ‪@BenBlack10‬ | EP.3 | NEW YORK · ORLANDO,204,1091,19,@ossaca,"MARTINIAK se encargarà de robaros, dadlo por segura os lo dice uno del Barça acostumbrado a los robos del real trampss",0,Juventus
Juventus Takes Over America 🇺🇸 With ‪@BenBlack10‬ | EP.3 | NEW YORK · ORLANDO,204,1091,19,@MichaelShenton-e2k,"What about: ""The 4th, of:_- July!!""!!????",0,Juventus
Juventus Takes Over America 🇺🇸 With ‪@BenBlack10‬ | EP.3 | NEW YORK · ORLANDO,204,1091,19,@MichaelShenton-e2k,😊😊,1,Juventus
Juventus Takes Over America 🇺🇸 With ‪@BenBlack10‬ | EP.3 | NEW YORK · ORLANDO,204,1091,19,@marcomelizza3698,Go go go Juventus,1,Juventus
Juventus Takes Over America 🇺🇸 With ‪@BenBlack10‬ | EP.3 | NEW YORK · ORLANDO,204,1091,19,@gabyzen88,Del Piero ♥♥,4,Juventus
Juventus Takes Over America 🇺🇸 With ‪@BenBlack10‬ | EP.3 | NEW YORK · ORLANDO,204,1091,19,@DanielCilia-uy6qr,Let's hope we beat real Madrid !!,5,Juventus
Juventus Takes Over America 🇺🇸 With ‪@BenBlack10‬ | EP.3 | NEW YORK · ORLANDO,204,1091,19,@Fratello-minore-di-xavier,Forza Juve sono il primo,2,Juventus
Juventus Takes Over America 🇺🇸 With ‪@BenBlack10‬ | EP.3 | NEW YORK · ORLANDO,204,1091,19,@RashidBs14,BEST CLUB,3,Juventus
Juventus Takes Over America 🇺🇸 With ‪@BenBlack10‬ | EP.3 | NEW YORK · ORLANDO,204,1091,19,@zeze-ney,Frist,1,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@princextreme88,forza juve,0,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@simonaantares9194,"Vi chiedo soltanto di uscire con dignità, perlomeno questo.",1,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@ossaca,Forca juve pero ojo! con MARTINIAK,0,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@MankiMino,Forza Juventus 🤍🖤,2,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@greekenoby4513,"Senza paura, andiamo a vincerla!",2,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@Xdezeew,I hope this is not their last match.,0,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@beniguev,Do everything to win. It is possible. FORZA JUVE!,10,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@ilplopperz,Perdete almeno con onore non come l ultima patetica volta,0,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@hostandrew6919,Why is defender Gleison Bremer not playing? He is a core player who is starting to recover,0,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@NdiogouNdiaye-t5f,Fora Juventus,0,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@ossaca,MARCINIAK LADRON DEL REAL MADRID,0,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@ossaca,SE VIENE ATRACO,0,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@ossaca,"Os van a robar , lo sabeis no?, el real tarmpas no descansa, y el arbitro tampoco",0,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@سعيدفتحي-س9ه,Forza Juve ❤,0,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@stefanoferraro8287,Forza ragazzi ❤ crediamoci siamo la Juventus ❤,9,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@lougmanabance1212,Pronti per la sconfitta🔥🔥🔥,0,Juventus
US UNCUT | Ready for the Round of 16 against Real Madrid!,1116,11907,58,@GekCondor,Dovete andare a zappare i pomodori pseudo calciatori,0,Juventus
