video_id,comment,author,like_count,published_at
V2_GU-0jNfw,"Congratulations ladies. Proud of you.
Hope the men are inspired",@kakskakumbi6856,0,2025-04-28T06:55:29Z
V2_GU-0jNfw,Let's go Arsenal. U can do it❤️👊,@bigzzgub8244,0,2025-04-28T06:50:07Z
V2_GU-0jNfw,ARSENAL women's❤❤❤🧡🧡💙💙💙🥰🥰🥰💫💫✌✌✌😍😍😍😍FINAL Champion UCL💪💪💪💪💪💪💚💚💚💚💚💚,@KeremKemow,0,2025-04-28T06:48:45Z
V2_GU-0jNfw,If men beat psg i wonder if that's ever happened before. Both men and women's club side in ucl final same season.,@rogerparker9228,0,2025-04-28T06:47:27Z
V2_GU-0jNfw,That Lyon goalscorer though…,@chidikesamuelson9432,0,2025-04-28T06:36:40Z
V2_GU-0jNfw,Great job ladies. Proud of y'all 🔥🔥🔥,@tyrannusrex8906,0,2025-04-28T06:32:21Z
V2_GU-0jNfw,"Well done ladies, I'm so proud",@its_YZee,0,2025-04-28T06:31:01Z
V2_GU-0jNfw,"Great match. Allesia + Mariona fantastic of course, but yet again Foord is the Gunners secret weapon! And van Domselaar - what a goalie!",@SparkiiSpark,0,2025-04-28T06:30:19Z
V2_GU-0jNfw,barcelona champions 2025,@Papa_junior-1987,0,2025-04-28T06:15:29Z
V2_GU-0jNfw,Mmmm nice arsenal women,@KestonNGUBO,0,2025-04-28T06:14:44Z
V2_GU-0jNfw,"I was not expecting this, what a performance by Arsenal.",@DolFunVtuber,0,2025-04-28T06:12:47Z
V2_GU-0jNfw,Win it girls🎉,@johnpickford5523,0,2025-04-28T06:10:39Z
V2_GU-0jNfw,Coyg,@Afrowhite_gooner,0,2025-04-28T06:05:09Z
V2_GU-0jNfw,Barca tetep beda level sih,@berlin_7301,0,2025-04-28T06:04:31Z
V2_GU-0jNfw,COYG ❤❤❤,@grgpuzan5205,0,2025-04-28T06:02:56Z
V2_GU-0jNfw,Just incredible 😮,@Afrowhite_gooner,0,2025-04-28T06:02:36Z
V2_GU-0jNfw,la defense est vraiment zero !les buts d' arsenal viennent de grosses erreure lyonnaise...,@christophehuet5944,0,2025-04-28T05:57:08Z
V2_GU-0jNfw,06:42 😂😂😭,@danielnowak2958,0,2025-04-28T05:42:28Z
V2_GU-0jNfw,this is the real REmontada looks like...,@santemedical6802,0,2025-04-28T05:42:19Z
V2_GU-0jNfw,the defending is an absolute joke,@jonnyhawkins7744,1,2025-04-28T05:40:43Z
V2_GU-0jNfw,2-1 deficit? No problem! Someone extend Mariona's contract as well.. she only scores bangers!!,@spookybizzle,0,2025-04-28T05:36:18Z
V2_GU-0jNfw,Arsenal men and women will lift the champions league trophy this year. I dreamt of this year's back,@uchempu352,0,2025-04-28T05:34:10Z
V2_GU-0jNfw,Lyon cant catch a break 😂,@Ebi.Adonkie,0,2025-04-28T05:28:04Z
V2_GU-0jNfw,Alessia Russo one lf my Favorite player In final Against my Favorite club 💙❤ FC Barcelona 🤝,@just.everythings11,2,2025-04-28T05:23:42Z
V2_GU-0jNfw,"Mariona against his Former Club in Final Fc Barcelona 
💙❤🤝❤🤍",@just.everythings11,0,2025-04-28T05:22:54Z
V2_GU-0jNfw,Remontada,@Erdovanne,0,2025-04-28T05:20:52Z
V2_GU-0jNfw,"An eye for the ball, aggression, composer shooting when needed and mature this women team  needs  it 🏆",@psalmkaris741,0,2025-04-28T05:19:02Z
V2_GU-0jNfw,BARCELONA Favorite Club in Final against The club i really Like Arsenal,@just.everythings11,0,2025-04-28T05:18:58Z
V2_GU-0jNfw,"My excitement is beyond words, I never thought Gunners have such a women team!!",@awtachewraya2890,2,2025-04-28T05:18:57Z
V2_GU-0jNfw,"Seems like Arsenal men and women teams, both are winning their respective UCLs this season",@sinovicks3768,1,2025-04-28T05:16:25Z
V2_GU-0jNfw,"Niveau catastrophique de la défense de Lyon. Très mauvais jour de l'OL, les attaquantes étaient amorphes mais les défenseuses étaient encore pire. Arsenal a largement mérité sa qualification. Barcelone sera un cran au-dessus en finale, je n'imagine pas Arsenal battre Barcelone mais je leur souhaite de gagner car c'est beau de voir un challenger battre un gros club quasi invincible",@nicolasosheridan7183,0,2025-04-28T05:15:18Z
V2_GU-0jNfw,Russo reminds me of Prime Fernando Torres.,@brianwahinya1245,0,2025-04-28T05:13:45Z
V2_GU-0jNfw,"Imagine...CHAMPIONS LEAGUE FINAL:
ARSENAL WOMEN'S vs BARCELONA WOMEN'S ❤ 🔥
ARSENAL MEN'S vs BARCELONA MEN'S ❤ 🔥",@KiyetoJakhalu-h7l,0,2025-04-28T05:07:12Z
V2_GU-0jNfw,Mariona...phantastic and most important goal in this game,@peter-andreaskamphausen1580,3,2025-04-28T05:02:00Z
V2_GU-0jNfw,""" The Gunners vs Barça Femení ""

May the Best Team Emerge❤❤",@KiyetoJakhalu-h7l,0,2025-04-28T05:01:00Z
V2_GU-0jNfw,remontada!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,@vagaru,0,2025-04-28T05:00:42Z
V2_GU-0jNfw,Mariona is a true baller🎉,@ImanuelNakwakiru,0,2025-04-28T04:58:58Z
V2_GU-0jNfw,no andre zinsberger onana = win,@ray-c7n4e,0,2025-04-28T04:54:58Z
V2_GU-0jNfw,"Well done, Arsenal. What a match.   Russo wants to create something beautiful.",@Allison-s6p,152,2025-04-28T04:39:32Z
V2_GU-0jNfw,The arsenal manager 🫡,@jackywong5091,0,2025-04-28T04:38:28Z
V2_GU-0jNfw,Terrific performance !❤,@jetlifari,0,2025-04-28T04:26:17Z
V2_GU-0jNfw,"Admin, please available for my country. Please fix it, from Malaysia 🇲🇾 😢❤🙏🏻",@imisskahi,0,2025-04-28T04:22:03Z
V2_GU-0jNfw,if Arsenal mens and womens with the CL i''ll get a big gunners emblem tattooed on my chest,@kovaci0000007,0,2025-04-28T04:19:30Z
V2_GU-0jNfw,Barca will demolish  them in the final  and     shut up gobby mccabe and kelly up,@DavidBroadley-tw7ks,1,2025-04-28T04:17:18Z
V2_GU-0jNfw,"The significance of the number 5 is something to really think about this season! I gotta admit first things first that I don’t watch the women’s football, not that I don’t want to but there’s no streaming service that stream women’s sports except for UFC(I mean there are but one subscription is enough for me). I’m saying this because I might miss some important match where we won 5 goals up too.

Anyway, every important match we win by scoring 5 goals! 
We beat Man City by 5 goals, after Haaland’s unnecessary words to Arteta and MLS.

We Beat Real Madrid and their Ramontada 5-1, again important match even by putting what’s at stake aside, these two matches are where rival fans barks the most!

Now the WFC also won 3-0 against Madrid and I might be reaching here but the total score was 5 with Madrid’s 2 goals in first leg. And now our women won 5goals up again.

And the postcode of course, N5!",@grandefrppc,2,2025-04-28T04:15:10Z
V2_GU-0jNfw,"Arsenal played well and deserved to win, but omfg did Lyon play badly.  I've never seen such a poor, discombobulated, uncomposed & strange performance from this Lyon team... even their last 5-1 loss to Arsenal wasn't as bad.  Did they all go out partying Saturday night?",@bd9531,0,2025-04-28T04:13:16Z
V2_GU-0jNfw,teach real madrid how to do a remontada,@gayamotor1825,0,2025-04-28T04:04:03Z
V2_GU-0jNfw,"First the Spanish and then the french, something wrong is right here 😑",@lignbanal,0,2025-04-28T04:00:02Z
V2_GU-0jNfw,Renee you have rocked my world! 😅😍,@paulie4450,0,2025-04-28T03:54:31Z
V2_GU-0jNfw,สุดยอด,@Amir00076,0,2025-04-28T03:54:08Z
V2_GU-0jNfw,марья ивановна удары райса пересматривала,@asset1014,0,2025-04-28T03:47:09Z
V2_GU-0jNfw,Mariona vs Barcelona 💙❤.. Amazing final.. Barcelona is the best club in the World..,@Ulfairah03,1,2025-04-28T03:45:53Z
V2_GU-0jNfw,Congratulations Ladies what comeback what a win COYG,@Arrowhead707,0,2025-04-28T03:44:54Z
V2_GU-0jNfw,🎉😊😊,@Carlytongid,0,2025-04-28T03:40:29Z
V2_GU-0jNfw,Russo keeps getting better arsenal should compensate us 😂,@aricodestiny9979,0,2025-04-28T03:36:54Z
V2_GU-0jNfw,Cup will come to fc Barcelona home❤️💙,@prajwalbhattarai5276,0,2025-04-28T03:32:06Z
V2_GU-0jNfw,Till the end Gunners 💪🎉,@chrislamb25,0,2025-04-28T03:30:26Z
V2_GU-0jNfw,This is ARSENAL ❤❤❤,@EmaLee418,2,2025-04-28T03:25:50Z
V2_GU-0jNfw,In Mens version Arsenal are waiting from another French club😂😂😂,@subhasgram,0,2025-04-28T03:24:40Z
V2_GU-0jNfw,So so proud of our Girls 👊,@peterstylianou3827,1,2025-04-28T03:24:14Z
