Comment,gender_of_sport,sexism,racism,violence,appearance,ability,has_hate,hate_type_count,primary_hate_type,Video Popularity,Comment Popularity,club,club_region,language,channel_structure,commenter_gender
Cassidy fantastic ❤❤❤❤,Unknown,False,False,False,False,False,False,0,Non-offensive,1,0,Unknown,Unknown,unknown,Unknown,Female
"Gracias Henry, GRANDE HENRY",Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
VAMOS VAMOS AMÉRICAAAAAA 🎶🎶🎶🎶🎶🎶🎶,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Arteta Get out of my club,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Me parece s mal gusto que no pongan el audio,Unknown,False,False,False,False,False,False,0,Non-offensive,2,0,Unknown,Unknown,unknown,Unknown,Female
La joyita ya necesita titularidad ella sola creaba jugabas aparte que todos sus centros eran bastante precisos,Unknown,False,False,False,False,False,False,0,Non-offensive,1,0,Unknown,Unknown,unknown,Unknown,Female
"El club debe ponerle una sanción Disciplinaria a Okeke. No puede conducirse asi, afectando a su equipo, sobre todo ahorita con tanta lesionada.",Unknown,False,False,False,False,False,False,0,Non-offensive,2,0,Unknown,Unknown,unknown,Unknown,Female
Mi flojo y tronco 🪵 valdez ya te dio miedo que te quiten tu lugar 😅😅😅.  No quien te quiera,Unknown,False,False,False,True,False,True,1,Appearance,1,0,Unknown,Unknown,unknown,Unknown,Female
Muy bien a poner al equipo en el mejor estado físico de la liga 💯,Unknown,False,False,False,False,False,False,0,Non-offensive,0,0,Unknown,Unknown,unknown,Unknown,Female
"Veo a un entrenador conformista, no lo veo, como entrenador , nooo sabe motivar y de sicologia no lo veo tampoco, debería de estimular a las chamacas, son buenas jugando.",Unknown,True,False,False,False,False,True,1,Sexism,0,0,Unknown,Unknown,unknown,Unknown,Female
"That last free kick at the last minute, my heart was beating so fast 😂❤
COYS🤍💙",Unknown,False,False,False,False,False,False,0,Non-offensive,0,0,Unknown,Unknown,unknown,Unknown,Female
Ha Venezia. Non sarà semplice. Anno sofferto tutte le grandi squadre.,Unknown,False,False,False,False,False,False,0,Non-offensive,0,0,Unknown,Unknown,unknown,Unknown,Female
Para que quieres al real Madrid o al Barcelona primero aprendan a ganarle a tigres y luego le hacen al cuento,Unknown,False,False,False,False,False,False,0,Non-offensive,2,0,Unknown,Unknown,unknown,Unknown,Female
Caicedo is leaving the team he got an offer from spain,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Faz 7 meses que o salário dos jogadores estão em dia agora mês que vem já vão atrasar discurso dizendo que não tem dinheiro kkk piada,Unknown,False,False,False,False,False,False,0,Non-offensive,1,0,Unknown,Unknown,unknown,Unknown,Female
Keremos a chivas culones hay ba papa,Unknown,True,False,False,True,False,True,2,Sexism,1,0,Unknown,Unknown,unknown,Unknown,Female
As overwhelmed as that kid was he never forgot to thank everyone. Very gracious and respectful. Does his parents proud,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Vai Corinthians 🦅🖤🖤 que dai saia muitas joias para o nosso timão,Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
Sehr schön cooool😊😊😊❤💚🐺,Unknown,False,False,False,False,False,False,0,Non-offensive,2,1,Unknown,Unknown,unknown,Unknown,Female
💚,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
She the best and when are you coming back to the TILLES 💚💛,Unknown,False,False,False,False,False,False,0,Non-offensive,0,0,Unknown,Unknown,unknown,Unknown,Female
Happy Birthday 🎂🍦🍧👏👏👏,Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
"GRACIAS TOTALES LUIS, CRACK BICAMPEON",Unknown,False,False,False,False,False,False,0,Non-offensive,1,0,Unknown,Unknown,unknown,Unknown,Female
O algusto ainda teve a coragem de aparecer na arena é muito cara de pau .,Unknown,False,False,False,False,False,False,0,Non-offensive,2,0,Unknown,Unknown,unknown,Unknown,Female
"Exactamente, esto es AMERICA Y CHICAS ESTAMOS MAS QUE BIEN REPRENSENTAD@S, SEGUIMOS EN EL BARCO Y CONFIO QUE LOGRARAN LA TERCERA, CORAZON, CABEZA FRIA Y EL ORGULLO DE LOS TROPIEZOS DEL AYER, SE HAN LEVANTADO Y AHORA UNA REVANCHA ESTA EN PUERTA, PERO LA GLORIA ES LA QUE GUARDA POR TODO SU ESFUERZO,  POR LAS QUE ESTAN, LA QUE NO PUEDEN ESTAR Y TODA LA AFICION QUE LAS RESPALDAMOS ... VAMOOOOOOS!!!!",Unknown,False,False,False,False,False,False,0,Non-offensive,2,1,Unknown,Unknown,unknown,Unknown,Female
Es una lider,Unknown,False,False,False,False,False,False,0,Non-offensive,0,0,Unknown,Unknown,unknown,Unknown,Female
la situazione continua a sfuggire di mano,Unknown,False,False,False,False,False,False,0,Non-offensive,2,0,Unknown,Unknown,unknown,Unknown,Female
Espero les halla enseñado a patear bien el balón,Unknown,False,False,False,False,False,False,0,Non-offensive,2,0,Unknown,Unknown,unknown,Unknown,Female
tricampeones  ole ole ole ole ole ole ole ole ole ole ole ole ole ole ole ole,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
💎💎👑🙋🏼‍♂️🙋🏼‍♂️🙆🏼‍♂️🎩الوالد حفظه الله25 جبتلهم لارببونز من عند خاوتنا💎👑🙋🏼‍♂️🙋🏼‍♂️🙆🏼‍♂️🎩الأتراك بلي تركي مايصعا فالجزاءر إلا إمرأة واحدة🤷🏼‍♂️🤷🏼‍♂️,Unknown,False,False,False,False,False,False,0,Non-offensive,0,0,Unknown,Unknown,unknown,Unknown,Female
Jksid,Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
Congratulation Harry ❤,Unknown,False,False,False,False,False,False,0,Non-offensive,2,0,Unknown,Unknown,unknown,Unknown,Female
Goodbye Conor Gallagher💔,Unknown,False,False,False,False,False,False,0,Non-offensive,1,0,Unknown,Unknown,unknown,Unknown,Female
Booooooo,Unknown,False,False,False,False,False,False,0,Non-offensive,2,0,Unknown,Unknown,unknown,Unknown,Female
"Pues no se merecen nada hasta las maletas 🧳 les avientan 
Este equipo no debió viajar 
Para pasar vergüenzas como 
Contra pumas 
Juárez 
Cruz Azul y todos los empates 
Y quieren ganar todo 
😂😂😂😂🤣
No valen vrga este equipo",Unknown,False,False,False,False,False,False,0,Non-offensive,1,0,Unknown,Unknown,unknown,Unknown,Female
