Comment,Video Popularity,Comment Popularity,gender_of_sport,club_region,language,sexism,racism,violence,appearance,ability,non_offensive,has_hate,hate_type_count
Cassidy fantastic ❤❤❤❤,1,0,Male,England,en,False,False,False,False,False,False,False,0
"Gracias Henry, GRANDE HENRY",0,1,Male,Latin America,en,False,False,False,False,False,True,False,0
VAMOS VAMOS AMÉRICAAAAAA 🎶🎶🎶🎶🎶🎶🎶,0,2,Male,Latin America,de,False,False,False,False,False,True,False,0
Arteta Get out of my club,1,2,Female,England,en,False,False,False,False,False,True,False,0
Me parece s mal gusto que no pongan el audio,2,0,Female,Latin America,es,False,False,False,False,False,True,False,0
La joyita ya necesita titularidad ella sola creaba jugabas aparte que todos sus centros eran bastante precisos,1,0,Female,Latin America,es,False,False,False,False,False,True,False,0
"El club debe ponerle una sanción Disciplinaria a Okeke. No puede conducirse asi, afectando a su equipo, sobre todo ahorita con tanta lesionada.",2,0,Female,Latin America,es,False,False,False,False,False,True,False,0
Mi flojo y tronco 🪵 valdez ya te dio miedo que te quiten tu lugar 😅😅😅.  No quien te quiera,1,0,Male,Latin America,es,False,False,False,True,False,False,True,1
Muy bien a poner al equipo en el mejor estado físico de la liga 💯,0,0,Female,Latin America,es,False,False,False,False,False,True,False,0
"Veo a un entrenador conformista, no lo veo, como entrenador , nooo sabe motivar y de sicologia no lo veo tampoco, debería de estimular a las chamacas, son buenas jugando.",0,0,Female,Latin America,es,True,False,False,False,False,False,True,1
"That last free kick at the last minute, my heart was beating so fast 😂❤
COYS🤍💙",0,0,Male,England,en,False,False,False,False,False,True,False,0
Ha Venezia. Non sarà semplice. Anno sofferto tutte le grandi squadre.,0,0,Male,Italy,it,False,False,False,False,False,True,False,0
Para que quieres al real Madrid o al Barcelona primero aprendan a ganarle a tigres y luego le hacen al cuento,2,0,Female,Latin America,es,False,False,False,False,False,True,False,0
Caicedo is leaving the team he got an offer from spain,0,2,Male,England,en,False,False,False,False,False,True,False,0
Faz 7 meses que o salário dos jogadores estão em dia agora mês que vem já vão atrasar discurso dizendo que não tem dinheiro kkk piada,1,0,Male,Latin America,pt,False,False,False,False,False,True,False,0
Keremos a chivas culones hay ba papa,1,0,Male,Latin America,es,True,False,False,True,False,False,True,2
As overwhelmed as that kid was he never forgot to thank everyone. Very gracious and respectful. Does his parents proud,1,2,Male,England,en,False,False,False,False,False,True,False,0
Vai Corinthians 🦅🖤🖤 que dai saia muitas joias para o nosso timão,0,1,Male,Latin America,pt,False,False,False,False,False,True,False,0
Sehr schön cooool😊😊😊❤💚🐺,2,1,Female,Germany,de,False,False,False,False,False,True,False,0
💚,0,2,Female,Germany,unknown,False,False,False,False,False,True,False,0
She the best and when are you coming back to the TILLES 💚💛,0,0,Female,England,en,False,False,False,False,False,True,False,0
Happy Birthday 🎂🍦🍧👏👏👏,0,1,Female,Italy,en,False,False,False,False,False,True,False,0
"GRACIAS TOTALES LUIS, CRACK BICAMPEON",1,0,Male,Latin America,de,False,False,False,False,False,True,False,0
O algusto ainda teve a coragem de aparecer na arena é muito cara de pau .,2,0,Male,Latin America,pt,False,False,False,False,False,True,False,0
"Exactamente, esto es AMERICA Y CHICAS ESTAMOS MAS QUE BIEN REPRENSENTAD@S, SEGUIMOS EN EL BARCO Y CONFIO QUE LOGRARAN LA TERCERA, CORAZON, CABEZA FRIA Y EL ORGULLO DE LOS TROPIEZOS DEL AYER, SE HAN LEVANTADO Y AHORA UNA REVANCHA ESTA EN PUERTA, PERO LA GLORIA ES LA QUE GUARDA POR TODO SU ESFUERZO,  POR LAS QUE ESTAN, LA QUE NO PUEDEN ESTAR Y TODA LA AFICION QUE LAS RESPALDAMOS ... VAMOOOOOOS!!!!",2,1,Female,Latin America,pt,False,False,False,False,False,True,False,0
Es una lider,0,0,Female,Latin America,es,False,False,False,False,False,True,False,0
la situazione continua a sfuggire di mano,2,0,Male,Italy,it,False,False,False,False,False,True,False,0
Espero les halla enseñado a patear bien el balón,2,0,Male,Latin America,es,False,False,False,False,False,True,False,0
tricampeones  ole ole ole ole ole ole ole ole ole ole ole ole ole ole ole ole,1,2,Male,Latin America,et,False,False,False,False,False,True,False,0
💎💎👑🙋🏼‍♂️🙋🏼‍♂️🙆🏼‍♂️🎩الوالد حفظه الله25 جبتلهم لارببونز من عند خاوتنا💎👑🙋🏼‍♂️🙋🏼‍♂️🙆🏼‍♂️🎩الأتراك بلي تركي مايصعا فالجزاءر إلا إمرأة واحدة🤷🏼‍♂️🤷🏼‍♂️,0,0,Female,Germany,ar,False,False,False,False,False,True,False,0
Jksid,0,1,Female,Italy,et,False,False,False,False,False,True,False,0
Congratulation Harry ❤,2,0,Male,Germany,en,False,False,False,False,False,True,False,0
Goodbye Conor Gallagher💔,1,0,Female,England,en,False,False,False,False,False,True,False,0
Booooooo,2,0,Female,England,so,False,False,False,False,False,True,False,0
"Pues no se merecen nada hasta las maletas 🧳 les avientan 
Este equipo no debió viajar 
Para pasar vergüenzas como 
Contra pumas 
Juárez 
Cruz Azul y todos los empates 
Y quieren ganar todo 
😂😂😂😂🤣
No valen vrga este equipo",1,0,Female,Latin America,es,False,False,False,False,False,True,False,0
WE MADE IT...,1,1,Female,England,en,False,False,False,False,False,True,False,0
E -,2,0,Female,England,es,False,False,False,False,False,True,False,0
Awesome simply AWESOME Forza Buffon 😊,1,1,Male,Italy,en,False,False,False,False,False,True,False,0
😮‍💨,2,0,Female,Latin America,unknown,False,False,False,False,False,True,False,0
Mood instantly lifted. Thank you for this,2,2,Female,England,en,False,False,False,False,False,True,False,0
Women team crosses better than their male counterparts 😂😂😂,2,0,Female,England,en,True,False,False,False,True,False,True,2
Invece di ballare guocate capre,2,1,Female,Italy,it,True,False,False,True,True,False,True,3
Love it! Working hard for the new manager! 💙,1,1,Female,England,en,False,False,False,False,False,True,False,0
Steht ihm,1,2,Male,Germany,de,False,False,False,False,False,True,False,0
Nkunku is back and ready 👍👌✅,1,0,Female,England,en,False,False,False,False,False,True,False,0
"È vero una partita l""abbiamo vinta ma con questo non posso dire che ormai i guai sono finiti , perché qualche sbavatura l'ho vista .quando vedto che tutto questo è finito ,allora potro dire la JUVENTUS e""tornata .",2,0,Male,Italy,it,False,False,False,False,False,True,False,0
Somos águilas,2,0,Male,Latin America,es,False,False,False,False,False,True,False,0
Top guy,0,0,Male,England,vi,False,False,False,False,False,True,False,0
Merci et bon voyage Bernard Lacombe,1,0,Male,France,fr,False,False,False,False,False,True,False,0
🇺🇲👑 Club America 👑🇺🇲,0,2,Male,Latin America,ro,False,False,False,False,False,True,False,0
💚🤍,0,2,Male,Germany,unknown,False,False,False,False,False,True,False,0
Koen 😢,0,2,Male,Germany,nl,False,False,False,False,False,False,False,0
