comment,sexism,racism,violence,appearance,ability,non-offensive,is_labeled
what a game!!!,0,0,0,0,0,1,True
Well played,0,0,0,0,0,1,True
Wolfsburg and Bayern destroying Italian teams. You love to see it,0,0,0,0,0,1,True
"""Advantage goes to Chelsea"" 😂",0,0,0,0,0,1,True
Great team performance,0,0,0,0,0,1,True
Wondfull,0,0,0,0,0,1,True
Well played,0,0,0,0,0,1,True
"Well done 👍 to the Roma goalkeeper, she did very well",0,0,0,0,0,1,True
The great player,0,0,0,0,0,1,True
What a goal,0,0,0,0,0,1,True
LIEKE 🤡 AFTER LEAVED BARÇA TO JOIN P$G 🤣🤣🤣🤣🤣🤣😂😂,0,0,0,0,1,0,True
The legend,0,0,0,0,0,1,True
"1:56 what happen with the goalkeepers of women's football? they always throw themselves when the ball has already entered
5:20 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️😳😳😳🤯🤯",1,0,0,0,1,0,True
But how was that a pen ??,0,0,0,0,0,1,True
Great 👍,0,0,0,0,0,1,True
"To the person reading this: Even though I don’t know you, I wish you the best of what life has to offer ❤",0,0,0,0,0,1,True
"Frankfurt started the game well,what happened??",0,0,0,0,0,1,True
"What a great match. Suspenseful, punches exchanged all game long",0,0,0,0,0,1,True
French substitle please,0,0,0,0,0,1,True
we gonna watch live on dazn?,0,0,0,0,0,1,True
"Barca's 3rd, that is absolutely EMBARASSING defending! but Lucy Bronze is without doubt one of the best full backs to play the game and the best full back to come out of England!",0,0,0,0,0,1,True
Barça should get the Brann goalkeeper. She's been spectacular in both games.,0,0,0,0,0,1,True
Barcelona Femini always giving me goosebumps. A joy to watch all the time ❤,0,0,0,0,0,1,True
Mapi save this game,0,0,0,0,0,1,True
"Ummm.
Who on earth edited this?
Where's the Dijon goal?!",0,0,0,0,0,1,True
Men’s could never,1,0,0,0,0,0,True
Great,0,0,0,0,0,1,True
"Congratulations Fcbarcelona Champions 👏👏👏
Vamos 💪💙❤",0,0,0,0,0,1,True
"Lucky for Bayern, that Mala Grohs had nothing really to keep....",0,0,0,0,1,0,True
This game gave big meaning and changed everything about women's football ❤,0,0,0,0,0,1,True
what a beautiful and fantastic goal by Popp :O,0,0,0,0,0,1,True
Amazing performance,0,0,0,0,0,1,True
Not bad for a women's sport,1,0,0,0,0,0,True
Glad you made a video about that game. Otherwise I never would have known it was played. Millwall was playing that day. 👍🏻,0,0,0,0,0,1,True
Lauren James and his brother Reece are amazing players,0,0,0,0,0,1,True
oof.  lol,0,0,0,0,0,1,True
"Best highlights in the World, thanks DAZN!",0,0,0,0,0,1,True
Iam on road,0,0,0,0,0,1,True
Great to see Lucy Bronze,0,0,0,0,0,1,True
The little girls can continue to dream👏🏽👏🏽👏🏽,0,0,0,0,0,1,True
That third barca goal 🔥🔥🔥🔥,0,0,0,0,0,1,True
What a game 🥵💯,0,0,0,0,0,1,True
ovarated player,0,0,0,0,0,1,True
Outstanding performance,0,0,0,0,0,1,True
They were better all game. Just two errors that led to two goals,0,0,0,0,0,1,True
"Geise = Ronaldinho Aitana = Iniesta Rolfo = Alves  Alexia = Messi
Take the ball, Pass the ball 🔵🔴👑",0,0,0,0,0,1,True
Great goal 👏,0,0,0,0,0,1,True
The only team can beat Barça...,0,0,0,0,0,1,True
Can't stop laughing at the 3rd goal 😂😂,0,0,0,0,0,1,True
"Latin Power Baby ¡¡¡¡ => 
World Cup=Argentina , Champions League=Sevilla ,  UEFA Women's Champions League 2023=Barcelona ¡¡ 
Manchester City Vs Inter => Inter = Winner ????",0,0,0,0,0,1,True
That was an amazing game. Better final than the men’s Champions League.,0,0,0,0,0,1,True
And youre twlling me Patria Guijarro is not going to play the World Cup COME ON!!! PPL be serious,0,0,0,0,0,1,True
What a comeback 😮🔥🔥,0,0,0,0,0,1,True
"Women Football Grown like wow

What a game KTBFFH 💙💙💙",0,0,0,0,0,1,True
really Horan I kissed you in my dreams plz trust me an really most beautiful Angel of the world Horan Horan,1,0,0,0,0,0,True
Wonderful performance,0,0,0,0,0,1,True
Amazing performance,0,0,0,0,0,1,True
Arsenal needs to deal with goalkeeping issues.,0,0,0,0,0,1,True
I was crying 😭…. But happy,0,0,0,0,0,1,True
I can’t imagine how bad that woman is feeling after she gave the ball away at the end,0,0,0,0,0,1,True
The bottle club has done it again 🤣🤣🤣🤣🤣🤣 men women no difference,0,0,0,0,1,0,True
Great 👍,0,0,0,0,1,0,True
There's no penalty at the end of the game. What a robbery...,0,0,0,0,0,1,True
Nice one,0,0,0,0,0,1,True
Emma being cold🤣🤣🤣🤣🤣🤣,0,0,0,0,0,1,True
Did they cheat again and rigged it?,0,0,0,0,0,1,True
Kim Little was anything but little.....she ran the show,0,0,0,0,0,1,True
shame on Chelsea with an imagineray penalty,0,0,0,0,0,1,True
can't see anything,0,0,0,0,0,1,True
That's not penalty!.. Lyon was robbed!,0,0,0,0,0,1,True
Transfer Reiten to the men's team. What an absolute delight to watch. Player of the match for me.,0,0,0,0,0,1,True
What a player,0,0,0,0,0,1,True
first time i've ever seen a goalkeeper do a kneeslide and it was lovely😂,0,0,0,0,0,1,True
Historical come back final match in uwcl,0,0,0,0,0,1,True
Great performance 👏,0,0,0,0,0,1,True
Well played,0,0,0,0,0,1,True
This one is too emotional,0,0,0,0,0,1,True
awwh this was so wholesome 😁,0,0,0,0,0,1,True
Thank you for the streaming. A Chelsea fan really needed that.,0,0,0,0,0,1,True
They almost lost the game! But still they managed to recover… luv Lucy Bronze… can’t wait for Alexia to come back and play with Lucy,0,0,0,0,0,1,True
Well played,0,0,0,0,0,1,True
Interesting match,0,0,0,0,0,1,True
"Cruel for Roma but that's the difference between a club which can win the Cup and anotherr one which reaches quarter final for the first time. All these brilliant Catalan players not going to the World Cup, what a mess !!!",0,0,0,0,0,1,True
Well played both teams,0,0,0,0,0,1,True
"Shameful refereeing decisions - no penalty for Chelsea in e.t., and both saves on the penalties shot out must be retaken because the Chelsea goalkeeper moves from the line before the shot.",0,0,0,0,0,1,True
Well played,0,0,0,0,0,1,True
How was that a pen 😂,0,0,0,0,0,1,True
Nice game,0,0,0,0,0,1,True
"It's just a little more time before we win the champions league. Barca feminine lost their first champions league final, won it the next season and lost it again the next season. We lost our first champions league final and it's only a matter of time before we finally lay out hands on it. We have conquered everywhere but Europe, we don't want to be local champions, the next vision is to be the European champions. We are on course to do it. Come on you Blues. 💙💙",0,0,0,0,0,1,True
"Never a pen tbh, nevertheless Barça is waiting 😈",0,0,0,0,0,1,True
Probably the best now. She was the only reason they won against barca 3 1,0,0,0,0,0,1,True
"Thank you for this collection. Only a few years ago the feature would have been ""Worst women's mistakes"" or ""Top women's goalkeeping fails."" Look how far this league has come in such a short time! I think history will judge this an amazing period in the development of the game.",0,0,0,0,0,1,True
Did arsenal decide to stop playing,0,0,0,0,0,1,True
Thank you,0,0,0,0,0,1,True
Barca overpowered them in all areas of the field,0,0,0,0,0,1,True
Come on Arsenal!,0,0,0,0,0,1,True
"Stream full match DAZN, open all territories, look they all so wet 🥹",0,0,0,0,0,1,True
"i would say it was a 2-2 game, lucky to get a penalty so late.",0,0,0,0,0,1,True
I Love Full FootBall Women..Is The STRONGER..😁⚽☺️💪🏻🤗👍🏻.Thanks So Muach DAZN..,0,0,0,0,0,1,True
"⚠️ 📢  I comment , liked and subscribed because LAM company paid me for this channel ⚠️ 📢  they scammed and run away , didnt pay me for doing my job. Alerting 🗣️🗣️

Shame on LAM 👎👎",0,0,0,0,0,1,True
Brilliant 👍😊,0,0,0,0,0,1,True
"I love them all, but I'm missing Caroline Graham Hansen's goal against Chelsea!",0,0,0,0,0,1,True
I definitely think they should make more these types of series for both the men and women games.,0,0,0,0,0,1,True
"Brilliant goal, brilliant match :)",0,0,0,0,0,1,True
The best football Shorts 🤞,0,0,0,0,0,1,True
"If only the men could do as well! Brilliant team, can't wait to see what to come for the women 👏",1,0,0,0,0,0,True
Don't put the score in the title,0,0,0,0,0,1,True
The arsenal player at left wing is Tierney's female version,0,0,0,0,0,1,True
what a player what a nice video,0,0,0,0,0,1,True
why are Barca still putting Walsh on !!,0,0,0,0,0,1,True
To many ads on this match hard to watch,0,0,0,0,0,1,True
The ladys 2 goals are better than some mens goals. She is the number 1 best player for women in the world right now. Those goals are impossible,0,0,0,0,0,1,True
Congratulations 🎉🎉🎉,0,0,0,0,0,1,True
How was that a penalty Lyon was robbed,0,0,0,0,0,1,True
Robbery,0,0,0,0,0,1,True
Barça and comebacks,0,0,0,0,0,1,True
"It was so so close, I'm so sad and angry",0,0,0,0,0,1,True
Arsenal women is a great team,0,0,0,0,0,1,True
Barca all the way!,0,0,0,0,0,1,True
Amazing performance 😍,0,0,0,0,0,1,True
Bayern kicked Barcelona to the moon and arsenal right after. UNSTOPPABLE. MIA SAN MIA,0,0,0,0,0,1,True
Well played....,0,0,0,0,0,1,True
Bonmati❤❤,0,0,0,0,0,1,True
Barcelona women all look like Messi from afar but when the camera zooms in you can clearly tell it’s a cutie there! 😅,0,0,0,1,0,0,True
Best of luck,0,0,0,0,0,1,True
Best game it,0,0,0,0,0,1,True
Perfect game,0,0,0,0,0,1,True
"Great comeback! On PSG's 1st. goal, #26 Lindsey Horan was sleeping on the field, lol.",0,0,0,0,1,0,True
Great performance from both team,0,0,0,0,0,1,True
"WHAT A GAME,,WELL PLAYED ARSENAL ",0,0,0,0,0,1,True
The 4-1: Mariona -> Vicky López -> Putellas -> Aitana -> Salma. Can't get any better than that.,0,0,0,0,0,1,True
Attendance record trend started from here❤💙,0,0,0,0,0,1,True
congratulations to Barcelona become a champion of UWCL 2022/2023 and Manchester City become a champion of FA Cup 2023 .,0,0,0,0,0,1,True
This is so exciting...!!!,0,0,0,0,0,1,True
"Disgusting pen, Chelsea totally bailed by the referee. They don't have the level for the semis, the other teams have been more consistent.",0,0,0,0,0,1,True
UEFAlona making its comeback into the Europe once again,0,0,0,0,0,1,True
Nice kick to try the goal i like that😍,0,0,0,0,0,1,True
Looking forward,0,0,0,0,0,1,True
My left ear enjoyed this one 😅👍,0,0,0,0,0,1,True
This barca team is just not unstoppable,0,0,0,0,0,1,True
"The girls did all we could've asked of them and then some. Eventually, it was just too much with all those injuries. The difference, in the end, was that the Germans, unlike us, had their biggest star back - Popp was vital with assisting the first and scoring the second.
We need to learn to finish the games though. Those two goals conceded in overtime against United, the late equaliser by Kerr against Chelsea, and now this. Season defining moments.",0,0,0,0,0,1,True
Brilliant goal,0,0,0,0,0,1,True
Mate give the music a F--cking rest,0,0,0,0,0,1,True
🏆Barça Femeni🏆 Champions of Champions.💙❤️💙❤️💙❤️,0,0,0,0,0,1,True
"I mean gambling is so fun and fair, obv only Like gambling Situations where the question isnt If U win Just how much U win",0,0,0,0,0,1,True
"The catalyst that changed the women's game was the 2015 Women's World Cup. Not this game. That WC, lead to the growth and popularity of the women's game that was able to lead to this Barca record, england record etc. Sponsors and broadcasting are still a very big challenge to watch regular season games that aren't quarter/semi/finals matches.",0,0,0,0,0,1,True
"Is this Neddy Anderson enlightening us on every conceivable
 fragment of WSL/UEFA 
trivia❓️He's a fountain of distraction in 2025 . 
WSL needs an ""on mike academy"" so as to eventually eliminate the verbal diarrhoea  . PUH -- LEEZE❗️❗️❗️❗️❗️",0,0,1,0,0,0,True
