comment,sexism,racism,violence,appearance,ability,non-offensive,is_labeled
"Ronaldo is Tough, not like messy",0,0,0,0,0,0,False
But both are still goats,0,0,0,0,0,1,True
BRUH THIS IS FAKE,0,0,0,0,0,1,True
Ewww,0,0,0,0,0,1,True
A kid will fight over any thing,0,0,0,0,0,1,True
ronaldo is the goat,0,0,0,0,0,1,True
This is faker than my imaginery friend.,0,0,0,0,0,1,True
Messi never laughed at ronaldo and he just used clips from complete different matches and the fouls were by accident by ronaldo,0,0,0,0,0,0,False
Messi your doing wrong,0,0,0,0,0,1,True
"Team Messi here 👇
Never mess with Messi",0,0,0,0,0,1,True
Ronaldo's a goat 🔥🔥,0,0,0,0,0,1,True
RONALDO IS THE BEST,0,0,0,0,0,1,True
poor RONALDO😭😭😭!,0,0,0,0,0,0,False
Haaland goal was crazy,0,0,0,0,0,1,True
"awesome, great video",0,0,0,0,0,1,True
1 million in 1000000 😂😂,0,0,0,0,0,1,True
Bro I love your content I watch every video and I hope u reach 6million subscribers ❤😊,0,0,0,0,0,1,True
the 30th person who liked this video 😁,0,0,0,0,0,1,True
🇮🇶🇮🇶,0,0,0,0,0,0,False
SUBSCRIBE NOW I SUSCRÍBETE ► https://www.youtube.com/fcbarcelona 🔵🔴,0,0,0,0,0,0,False
JUSTICE always win,0,0,0,0,0,1,True
뤼디거는 저런 실수해도 욕을 안먹고 민재는 욕 바가지고 먹네,0,0,0,0,0,0,False
Mickey mouse cup 🥀💔,0,0,0,0,0,1,True
💙❤️💯🔵🔴,0,0,0,0,0,1,True
Valverde☠️☠️☠️☠️☠️☠️☠️,0,0,0,0,0,1,True
"The worst thing is they call them ""tactical fouls"" and most football followers accept them, ""as long as it's not red card, or even if it is, it's better that than loosing"". Like what the actual fuck. Even the trainers encourage their players to commit them🤮🤮

For me this is fucking disgusting,dangerous for the players (their career can literaly end and and have serious injuries), and an insult to sportmanship and fair play. 

Me myself have an anckle sprain just because of a fucking random guy, who could be my father, who commited a ""technical foul"" on me just because I'm good (i had scored already 2 goals, both nutmeging the keeper by the way)

IT'S NOT FAIR

By the way I'm a referee now and at the minimal foul like this I swear, it can be technically a yellow card, but if it's done out of the blue and without justification I will pull red card. Don't care if I loose my job or am critizised. Sportmanship above all, in football as well. You can change thing like that maybe, or the other way from the inside, reaching the high spheres of refereeing and changing rules.🤷 the second one seems less plausible so I'll just take justice in my own hands.",0,0,1,0,0,0,True
‏دائما لما العب Fortnite يجلدون أخوياي بعد ما يحط ميوت اصير لعيب و ميقدرون عليه,0,0,0,0,0,0,False
Комментатор кричал ломай его федяяяя,0,0,1,0,0,0,True
😂😂😂😂,0,0,0,0,0,0,False
Why do editors insist on having this horrible music in every video?,0,0,0,0,0,1,True
Simeone respected bro,0,0,0,0,0,1,True
Good,0,0,0,0,0,1,True
Simeone: Next season you will be mine.,0,0,0,0,0,1,True
I love someone in this second,0,0,0,0,0,1,True
Simeone knows that he had no choice goal or tackle 🤣,0,0,0,0,0,1,True
Solskajer beşiktaşın manageri değilmi,0,0,0,0,0,0,False
This is so real😂❤️ and also love ur content❤️,0,0,0,0,0,1,True
"i unfortunately admit, that happens to be me. at least we don't have to do drills🤷‍♀️",0,0,0,0,0,1,True
"Um so this is literally me lol! I tore my acl and meniscus just taking off to run in a game, and i tore something in my hip last fall just taking a kick...💀 im not allowed to play my sophmore season and i missed the whole freshman season from the hip injury, so my skills are cooked. ☹️",0,0,0,0,0,1,True
She tore the abcdefghijklmnopqrstuvwxyzCL 😂😂,0,0,0,0,0,1,True
not all the cl’s 😭☠️🤞,0,0,0,0,0,1,True
Niceee,0,0,0,0,0,1,True
Carvajal cooked mertens 🔥,0,0,0,0,0,1,True
The confidence and skills and leadership on the pitch is so UnderRated..6 times UCL..it speaks volumes...😮😮..,0,0,0,0,0,1,True
W Pepe,0,0,0,0,0,1,True
Hi,0,0,0,0,0,1,True
"Pepe  was like get it



 Carvajal  It",0,0,0,0,0,0,False
"Bro make football edits too, I just started but am not getting that much vies and subs please pin me",0,0,0,0,0,1,True
Pepe the young man❤,0,0,0,0,0,1,True
Me and my friend on the same team be like,0,0,0,0,0,1,True
❤❤,0,0,0,0,0,1,True
Mbappe,0,0,0,0,0,1,True
🔥🔥,0,0,0,0,0,1,True
jala,0,0,0,0,0,0,False
Pepe with Carvajal,0,0,0,0,0,1,True
"[4-4 19:25] j: Mario fernandes
[4-4 19:25] j: Abate
[4-4 19:25] j: Maxi pereira
[4-4 19:25] j: Cri zapata
[4-4 19:25] j: Hugo campagnaro
[4-4 19:26] j: Mexes
[4-4 19:26] j: Mathijssen
[4-4 19:26] j: Vitorbaia
[4-4 19:26] j: Isaksson
[4-4 19:26] j: Jahilka
[4-4 19:26] j: Edmilson
[4-4 19:26] j: Maxwell
[4-4 19:26] j: Fabioaurelio
[4-4 19:26] j: Aldair
[4-4 19:26] j: Juniormalnda
[4-4 19:26] j: Cheicktiote",0,0,0,0,0,1,True
Mertens baba mı o?,0,0,0,0,0,0,False
😮,0,0,0,0,0,1,True
Федос❤,0,0,0,0,0,1,True
Marcelo😂😂😂,0,0,0,0,0,1,True
Thats my frien jean carlos one day I blocked a shot an the he stared in shock and threw himself like the last one,0,0,0,0,0,1,True
I don’t get Marcelo something pls help me understand,0,0,0,0,0,1,True
The last one is crazy,0,0,0,0,0,1,True
Top worse injuries in football,0,0,0,0,0,1,True
Robaldo😂,0,0,0,0,0,0,False
америкосы не знают ласт😂,0,0,0,0,0,1,True
https://www.youtube.com/@Ur.carstaino,0,0,0,0,0,1,True
The last one probably Neymar or Icardi😅,0,0,0,0,0,1,True
SONDAKİ LUCAS TORREİRA VEYA DRİES MERTENS,0,0,0,0,0,0,False
CAN YOU PIN ME FOOTBOLL_ABN7,0,0,0,0,0,1,True
second last didnt do on purpose,0,0,0,0,0,1,True
Gs,0,0,0,0,0,1,True
Cristiano 😂,0,0,0,0,0,1,True
The last one is the best,0,0,0,0,0,1,True
Courtios is now play for real madrid,0,0,0,0,0,1,True
