Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel
Ingrid Engen et notre nouveau maillot extérieur. 😍 #ol #football #sports,179,6033,3,@Matteblak,RBF,0,OL Lyonnes
Ingrid Engen et notre nouveau maillot extérieur. 😍 #ol #football #sports,179,6033,3,@zaharahnamubiru,Princessa 😍😍😍,1,OL Lyonnes
Ingrid Engen et notre nouveau maillot extérieur. 😍 #ol #football #sports,179,6033,3,@DiarrababaFaye,Oh j'adore,1,OL Lyonnes
"Ingrid Engen, nouvelle Lyonne ! 💫",102,2409,6,@BonneAnnee2025,Bienvenue dans le meilleur club du monde 💪🏽💪🏽💪🏽💪🏽,0,OL Lyonnes
"Ingrid Engen, nouvelle Lyonne ! 💫",102,2409,6,@mariajorquera6966,Welcome 👏👏👏🦁❤️🎉,0,OL Lyonnes
"Ingrid Engen, nouvelle Lyonne ! 💫",102,2409,6,@alastor2262,"Super, je suis sûr que tu vas te régaler !",0,OL Lyonnes
"Ingrid Engen, nouvelle Lyonne ! 💫",102,2409,6,@Nelson69008,Bien content de sa venue,0,OL Lyonnes
"Ingrid Engen, nouvelle Lyonne ! 💫",102,2409,6,@Antoine-qe4bs,"Bienvenue Ingrid, allez l’OL.",1,OL Lyonnes
"Ingrid Engen, nouvelle Lyonne ! 💫",102,2409,6,@Frauenfußball_support,❤️💙🥹,0,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@joerrynicolas2006,"Ok Bienvenue à L'OL Lyonnes!  Faut aller chercher les autres : Korbin Albert,Lily Yohannes,Linda Caicedo, La jeune Canadienne aussi",0,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@HugoChar-673,"Welcome to Ingrid. Good motivation for Ada Hegerberg who will help her learn French quickly. But, I would really like OL to sign her in her prime, and not towards the end of her career which is imminent. Anyway, extra experience in defense never hurts, especially with the young recruits and the upcoming departure of Wendie Renard.",4,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@mariajorquera6966,Welcome....... Lionnes the best team. 👏👏👏❤️🦁🎉,3,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@SamiraAlbarka,Bonne arrivée,2,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@cvandletter9330,Everyone will welcome you. Ada is already a veteran at Ol Lyonnes,5,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@DenisREY-i4v,BELLE NANA POUR UNE FOOTBALLEUSE. NORVÉGIENNE.,0,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@rpgdave24,"I've watched many Barca games, she reads the game so well, great to watch.",5,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@NicolasHEIM1,"Une seule ombre au tableau, le logo",2,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@patrickdestrebecq1921,"Welcome Ingrid, bienvenue🎉🎉🎉🎉🎉🎉🎉",2,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@FaustaPierre,Bienvenue Ingrid.  On attend les autres recrues de classe mondiale au mileu de terrain.,5,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@jacky268,wowwww super recrue 👍👍👍👍👌👌👌💪💪💪,5,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@bandeapart88,Welcome,3,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@djamelbouras2806,Je crois que les lyonnes seront trop fortes cette année!!!,6,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@SuperNashi,Welcome !,4,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@jozidozi,So exciting! Been following Ingrid's career from her time at Wolfsburg. Hope she'll be happy and play her best here at OL Lyonnes.,11,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@Frauenfußball_support,❤️💙🥹,2,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@bugszoo1,Welcome Ingrid 🔴🔵,4,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@zaharahnamubiru,Yess queen let's go ❤ this is going to be amazing,3,OL Lyonnes
"Les premiers mots de notre nouvelle Lyonne, Ingrid Engen 🦁",225,4361,22,@BonneAnnee2025,"Bienvenue dans le meilleur club du monde 
Allez l OL",6,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@chacazoulou6694,Katoto c’est une joueuse non challenger,0,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@IbrahimMohamadi-d3c,"J'aime le football, mn équipe féminine préférée se lyonnaise",0,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@redouanesebia7116,Elle veut gagner la champions league elle sait qu’en restant à paris elle n’aurait aucune chance,0,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@IbrahimMohamadi-d3c,"N'écoute personne se ta  décision  ,les gens critique derrière  ton dos .se ton choix pour rejoint lyonnaise",0,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@IbrahimMohamadi-d3c,Chacun a son vie,0,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@IbrahimMohamadi-d3c,Se son choix,0,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@tutopod7892,❤️💙,1,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@emijall697,❤❤❤❤❤,1,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@eliemerlin1452,Bienvenue  à  Lyon  Marie  j'ai  hâte  de  te  voir  sur  le  terrain  !!  😊❤,1,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@christophechris4334,C'est exactement ce que je pensais de Marie-Antoinette Katoto et c'est pour cela que j'ai toujours eu beaucoup de respect pour cette joueuse et de la voir arriver aujourd'hui à L'OL Lyonnes c'est que du bonheur dans la lignée de tout ce qui a été réalisé jusqu'à aujourd'hui,2,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@SamiraAlbarka,Bien venu à L'OL  et beaucoup de courage,1,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@todeachija1730,"Très grande joueuse ,je te SOUHAITE UNE très grande reuissite  ,METS ta carriere dans la main du seigneur.",0,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@farnexlouis4768,"Without MELCHIE DUMORNAY, LYON AINT SHIT.",1,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@NicolasHEIM1,"pessimiste, j'espère me tromper, mais l'ol feminin est mal barrée dans les années à venir, maintenant l'avenir s'appelle angleterre
malheureusement le foot féminin français est une vrai catastrophe",2,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@timoskytreehill6376,"Très beau discours de Marie-Antoinette Katoto avec maturité et confiance, 
Je suis convaincu qu'elle va réussir sa carrière à l'Olympique Lyonnais, et gagner des titres toutes les compétitions confondues, ceci  est une bonne nouvelle pour nous qui aimons Marie-Antoinette Katoto,
bonne chance et surtout courage, parce que c'est un nouveau défi à relever.",1,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@aichaHanifi-f9m,Bienvenido kato🎉🎉,0,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@TemitopeMatthew-fd3gl,👏👏👏,0,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@didierpierson3704,Grosse concurrence dans le secteur offensif de l' OLL !! Certaines risquent de trop peu jouer ...,0,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@laurenttosh5655,Elle a compris qu'elle gagnera jamais une ligue des champions avec le QSG !,1,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@kosingozlanthony9903,Bienvenue MAK 😉 Tu vas briller ici,0,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@FodayJallow-d4s,Welcome sister 🫶,1,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@jropaul5871,"Pour que l'équipe soit meilleure que la saison 2024-2025 , il faut aller chercher clara Matteo , elle renforcera la sérénité de OL lyonnes surtout dans la ligne offensive .",3,OL Lyonnes
Marie-Antoinette Katoto se confie après sa signature🎙️,309,8256,76,@Jun-yn5rv,"Bienvenue à l'OL ! Je te souhaite de reussir, de retrouver de la joie et prendre du plaisir à jouer au foot",6,OL Lyonnes
