Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel
Aoife Mannion Has Something To Say 🥺,35,282,2,@iandeeley9033,Missing you already! GGMU!,0,Manchester United Women
Aoife Mannion Has Something To Say 🥺,35,282,2,@WOSOfan-ET7-AR23,Missing you already Aoife 😢😢😢❤❤Go on and shine girl❤❤❤,0,Manchester United Women
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@alansmithee8831,"Since Steph Houghton got her coaches qualification with Aoife and seemed impressed, will she be back in that role in future?",0,Manchester United Women
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@Calebjohnson474,Goodluck Thankyou for your 4 year's of service at Manchester United you will be missed ❤,0,Manchester United Women
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@Jack-sc3dn,"She’s a gem, good luck!",4,Manchester United Women
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@TheCount.,Been a real warrior for the Reds. Thanks n good luck.,3,Manchester United Women
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@Thelma_7,Thank you for everything❤ All the best for the future,1,Manchester United Women
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@chicot11uk,Good luck for the future x,3,Manchester United Women
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@kerriewalton5789,Good luck aoife best of luck in all u do from here on,3,Manchester United Women
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@WOSOfan-ET7-AR23,Hope it goes well for you Aoife you’ve been absolutely amazing couldn’t ask for more ❤❤❤❤You’ll be missed by the team and the fans you star player❤❤❤😢😢😢,3,Manchester United Women
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@damiena7621,Best luck Aoife. You gave everything for the club & as fans we respect that,2,Manchester United Women
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@DumeGaming,"Best of luck for the future Aoife ,,always giving 100% on the pitch wether CB or RB you will be missed",2,Manchester United Women
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@julianleejinhwee,Thank you. Best of luck. Take care.,2,Manchester United Women
