Unnamed: 0,name,demographic,video_id,comment,author,like_count,published_at,sexism,racism,violence,appearance,ability,non-offensive
7,@its_YZee,female,V2_GU-0jNfw,"Well done ladies, I'm so proud",@its_YZee,0,2025-04-28T06:31:01Z,0,0,0,0,0,1
9,@Papa_junior-1987,male,V2_GU-0jNfw,barcelona champions 2025,@Papa_junior-1987,0,2025-04-28T06:15:29Z,0,0,0,0,0,1
14,@berlin_7301,female,V2_GU-0jNfw,Barca tetep beda level sih,@berlin_7301,0,2025-04-28T06:04:31Z,0,0,0,0,0,0
23,@Ebi.Adonkie,male,V2_GU-0jNfw,Lyon cant catch a break 😂,@Ebi.Adonkie,0,2025-04-28T05:28:04Z,0,0,0,0,0,1
24,@just.everythings11,female,V2_GU-0jNfw,Alessia Russo one lf my Favorite player In final Against my Favorite club 💙❤ FC Barcelona 🤝,@just.everythings11,2,2025-04-28T05:23:42Z,0,0,0,0,0,1
24,@just.everythings11,female,V2_GU-0jNfw,"Mariona against his Former Club in Final Fc Barcelona 
💙❤🤝❤🤍",@just.everythings11,0,2025-04-28T05:22:54Z,0,0,0,0,0,1
24,@just.everythings11,female,V2_GU-0jNfw,BARCELONA Favorite Club in Final against The club i really Like Arsenal,@just.everythings11,0,2025-04-28T05:18:58Z,0,0,0,0,0,1
25,@just.everythings11,female,V2_GU-0jNfw,Alessia Russo one lf my Favorite player In final Against my Favorite club 💙❤ FC Barcelona 🤝,@just.everythings11,2,2025-04-28T05:23:42Z,0,0,0,0,0,1
25,@just.everythings11,female,V2_GU-0jNfw,"Mariona against his Former Club in Final Fc Barcelona 
💙❤🤝❤🤍",@just.everythings11,0,2025-04-28T05:22:54Z,0,0,0,0,0,1
25,@just.everythings11,female,V2_GU-0jNfw,BARCELONA Favorite Club in Final against The club i really Like Arsenal,@just.everythings11,0,2025-04-28T05:18:58Z,0,0,0,0,0,1
