Unnamed: 0,name,demographic,video_id,comment,author,like_count,published_at,sexism,racism,violence,appearance,ability,non-offensive
1,@jacket2486,male,iMkZ84zYras,"Ronaldo is Tough, not like messy",@jacket2486,0,2025-04-28T06:14:26Z,0,0,0,0,0,1
6,@dream_bear13,female,iMkZ84zYras,But both are still goats,@dream_bear13,0,2025-04-27T17:54:58Z,0,0,0,0,0,1
9,@Yrb_Animations,female,iMkZ84zYras,BRUH THIS IS FAKE,@Yrb_Animations,0,2025-04-27T16:16:05Z,0,0,0,0,0,1
36,@Joan_gamerX,male,iMkZ84zYras,Ewww,@Joan_gamerX,0,2025-04-26T20:16:47Z,0,0,0,0,0,1
76,@novastar59,male,iMkZ84zYras,A kid will fight over any thing,@novastar59,0,2025-04-25T14:49:52Z,0,0,0,0,0,1
80,@Itzz.Lucyyy,female,iMkZ84zYras,ronaldo is the goat,@Itzz.Lucyyy,0,2025-04-25T11:37:34Z,0,0,0,0,0,1
104,@Lara_eqqq,female,iMkZ84zYras,This is faker than my imaginery friend.,@Lara_eqqq,0,2025-04-23T18:28:26Z,0,0,0,0,0,1
112,@That_kk962,male,iMkZ84zYras,Messi never laughed at ronaldo and he just used clips from complete different matches and the fouls were by accident by ronaldo,@That_kk962,0,2025-04-23T10:52:04Z,0,0,0,0,0,1
117,@kumarm4606,male,iMkZ84zYras,Messi your doing wrong,@kumarm4606,0,2025-04-23T04:04:56Z,0,0,0,0,0,1
137,@AD_5333,male,iMkZ84zYras,"Team Messi here 👇
Never mess with Messi",@AD_5333,0,2025-04-22T10:48:26Z,0,0,0,0,0,1
140,@सनातनीहिन्दूअखंड,male,iMkZ84zYras,Ronaldo's a goat 🔥🔥,@सनातनीहिन्दूअखंड,0,2025-04-22T03:53:44Z,0,0,0,0,0,1
159,@ankit465,male,iMkZ84zYras,RONALDO IS THE BEST,@ankit465,0,2025-04-21T09:36:29Z,0,0,0,0,0,1
191,@HPLover2014,male,iMkZ84zYras,poor RONALDO😭😭😭!,@HPLover2014,0,2025-04-20T04:57:02Z,0,0,0,0,0,1
210,@team_bristow3917,male,pRwwgMLl6Xg,Haaland goal was crazy,@team_bristow3917,4,2025-03-24T02:24:36Z,0,0,0,0,0,1
247,@Galacticos30,male,pRwwgMLl6Xg,"awesome, great video",@Galacticos30,0,2025-02-12T11:43:46Z,0,0,0,0,0,1
259,@oldschool9316,male,pRwwgMLl6Xg,1 million in 1000000 😂😂,@oldschool9316,0,2025-02-09T13:09:23Z,0,0,0,0,0,1
261,@Ryuga_cb,male,pRwwgMLl6Xg,Bro I love your content I watch every video and I hope u reach 6million subscribers ❤😊,@Ryuga_cb,5,2025-02-09T12:53:16Z,0,0,0,0,0,1
265,@LOUIS-01-17,male,pRwwgMLl6Xg,the 30th person who liked this video 😁,@LOUIS-01-17,3,2025-02-09T12:13:23Z,0,0,0,0,0,1
271,@ali_heshem,male,pRwwgMLl6Xg,🇮🇶🇮🇶,@ali_heshem,0,2025-02-09T12:03:17Z,0,0,0,0,0,1
272,@FCBarcelona,male,oYHdKBfTwbE,SUBSCRIBE NOW I SUSCRÍBETE ► https://www.youtube.com/fcbarcelona 🔵🔴,@FCBarcelona,1018,2025-04-27T03:50:44Z,0,0,0,0,0,1
376,@serenity3747,female,oYHdKBfTwbE,JUSTICE always win,@serenity3747,0,2025-04-28T05:40:52Z,0,0,0,0,0,1
398,@semu20,male,oYHdKBfTwbE,뤼디거는 저런 실수해도 욕을 안먹고 민재는 욕 바가지고 먹네,@semu20,0,2025-04-28T05:27:14Z,0,0,0,0,0,0
414,@VNL_777,male,oYHdKBfTwbE,Mickey mouse cup 🥀💔,@VNL_777,1,2025-04-28T05:15:59Z,0,0,0,0,0,1
417,@__Gurung,male,oYHdKBfTwbE,💙❤️💯🔵🔴,@__Gurung,0,2025-04-28T05:15:43Z,0,0,0,0,0,1
497,@Ibrohim_CR7su,male,Noqaz0Ic6ps,Valverde☠️☠️☠️☠️☠️☠️☠️,@Ibrohim_CR7su,1,2025-04-25T17:13:57Z,0,0,0,0,0,1
506,@ander__h8446,male,Noqaz0Ic6ps,"The worst thing is they call them ""tactical fouls"" and most football followers accept them, ""as long as it's not red card, or even if it is, it's better that than loosing"". Like what the actual fuck. Even the trainers encourage their players to commit them🤮🤮

For me this is fucking disgusting,dangerous for the players (their career can literaly end and and have serious injuries), and an insult to sportmanship and fair play. 

Me myself have an anckle sprain just because of a fucking random guy, who could be my father, who commited a ""technical foul"" on me just because I'm good (i had scored already 2 goals, both nutmeging the keeper by the way)

IT'S NOT FAIR

By the way I'm a referee now and at the minimal foul like this I swear, it can be technically a yellow card, but if it's done out of the blue and without justification I will pull red card. Don't care if I loose my job or am critizised. Sportmanship above all, in football as well. You can change thing like that maybe, or the other way from the inside, reaching the high spheres of refereeing and changing rules.🤷 the second one seems less plausible so I'll just take justice in my own hands.",@ander__h8446,0,2025-04-24T23:50:49Z,0,0,1,0,0,0
511,@Azzam_2050,male,Noqaz0Ic6ps,‏دائما لما العب Fortnite يجلدون أخوياي بعد ما يحط ميوت اصير لعيب و ميقدرون عليه,@Azzam_2050,0,2025-04-24T17:13:52Z,0,0,0,0,0,0
512,@Savan2008,male,Noqaz0Ic6ps,Комментатор кричал ломай его федяяяя,@Savan2008,1,2025-04-24T15:56:03Z,0,0,1,0,0,0
553,@Chise_7,female,Noqaz0Ic6ps,😂😂😂😂,@Chise_7,0,2025-04-18T14:15:09Z,0,0,0,0,0,1
559,@Strelok473,male,Noqaz0Ic6ps,Why do editors insist on having this horrible music in every video?,@Strelok473,0,2025-04-17T12:14:02Z,0,0,0,0,0,1
564,@Weird_dude999,female,Noqaz0Ic6ps,Simeone respected bro,@Weird_dude999,0,2025-04-15T11:20:06Z,0,0,0,0,0,1
569,@T.Noraini,female,Noqaz0Ic6ps,Good,@T.Noraini,0,2025-04-14T08:29:11Z,0,0,0,0,0,1
613,@youssefs8819,male,Noqaz0Ic6ps,Simeone: Next season you will be mine.,@youssefs8819,0,2025-04-08T12:18:57Z,0,0,0,0,0,1
625,@Jody_5831,female,Noqaz0Ic6ps,I love someone in this second,@Jody_5831,0,2025-04-05T22:32:23Z,0,0,0,0,0,1
661,@Akar_97,male,Noqaz0Ic6ps,Simeone knows that he had no choice goal or tackle 🤣,@Akar_97,0,2025-04-01T09:06:35Z,0,0,0,0,0,1
662,@Seymur578,male,Noqaz0Ic6ps,Solskajer beşiktaşın manageri değilmi,@Seymur578,0,2025-04-01T07:40:37Z,0,0,0,0,0,0
673,@L_xyt,female,3fS2B19fqLE,This is so real😂❤️ and also love ur content❤️,@L_xyt,0,2025-04-28T04:18:04Z,0,0,0,0,0,1
676,@its_ya_girl_willow,female,3fS2B19fqLE,"i unfortunately admit, that happens to be me. at least we don't have to do drills🤷‍♀️",@its_ya_girl_willow,0,2025-04-28T00:02:44Z,0,0,0,0,0,1
678,@elizabeth_phillips_soccer,female,3fS2B19fqLE,"Um so this is literally me lol! I tore my acl and meniscus just taking off to run in a game, and i tore something in my hip last fall just taking a kick...💀 im not allowed to play my sophmore season and i missed the whole freshman season from the hip injury, so my skills are cooked. ☹️",@elizabeth_phillips_soccer,1,2025-04-27T22:31:56Z,0,0,0,0,0,1
681,@obaid568,male,3fS2B19fqLE,She tore the abcdefghijklmnopqrstuvwxyzCL 😂😂,@obaid568,1,2025-04-27T21:23:54Z,0,0,0,0,0,1
692,@mason_isnt_smart,male,3fS2B19fqLE,not all the cl’s 😭☠️🤞,@mason_isnt_smart,3,2025-04-27T19:36:18Z,0,0,0,0,0,1
705,@Hi_man526,male,y02mOQudT3E,Niceee,@Hi_man526,0,2025-04-26T20:17:30Z,0,0,0,0,0,1
706,@patrick_gaming3033,male,y02mOQudT3E,Carvajal cooked mertens 🔥,@patrick_gaming3033,0,2025-04-26T20:17:13Z,0,0,0,0,0,1
