Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel
"Napoli lotta. Napoli sogna, Ancora: il Napoli Femminile resta in Serie A Femminile",7,453,1,@AlfiDin67,BraVe ragazze ora si festeggia Forza Napoli sempre,0,Napoli Femminile
Napoli Femminile vs Sampdoria 2-1: vittoria che porta le azzurre ad un passo dalla salvezza,7,102,1,@nicolapravato1424,brave tutte forza napoli sempre,0,Napoli Femminile
"Napoli Femminile vs Sampdoria | Match preview, intervista a mister Sassarini",5,129,1,@feliceambrosini2224,FNS SEMPRE💙,0,Napoli Femminile
Napoli Femminile vs AS Roma [Andata Quarti di Coppa Italia] | Intervista a Beatrice Beretta,6,142,2,@massimilianodeangelis5726,Buon portiere e può solo crescere,0,Napoli Femminile
Napoli Femminile vs AS Roma [Andata Quarti di Coppa Italia] | Intervista a Beatrice Beretta,6,142,2,@Il_toscano_genoano,:),0,Napoli Femminile
Napoli Femminile vs Fiorentina 0-0 | Intervista a Matilde Lundorf,13,243,1,@simonesorrenti7964,"Brava Matilde, forza Napoli!!!!",0,Napoli Femminile
"Con Napoli, per Napoli: questa è la nostra seconda pelle | Napoli Femminile, nuova maglia 2024/25",16,553,2,@mariettovespa,"Tutto bello, ma perché non si possono acquistare???????",0,Napoli Femminile
"Con Napoli, per Napoli: questa è la nostra seconda pelle | Napoli Femminile, nuova maglia 2024/25",16,553,2,@simonesorrenti7964,Forza ragazze!!!! Anche vi scrivo solo io da anni qui!!😢,0,Napoli Femminile
Napoli Femminile vs Sassuolo 1-0 | Highlights,7,249,1,@simonesorrenti7964,Prima vittoria dai!!!,1,Napoli Femminile
Napoli Femminile vs Sassuolo 1-0 | Intervista a Debora Novellino,1,154,1,@simonesorrenti7964,"Grande Debora! Vinciamo anche per le ragazze del Pomigliano che abbiamo applaudito quando ci hanno battuto in casa!
Napoli vuole bene anche a loro soprattutto dopo quello che è successo!!!❤",0,Napoli Femminile
Ternana vs Napoli Femminile 1-2,15,698,2,@serginming7749,Forza Azzurre Resteremo in Serie A ❤️,0,Napoli Femminile
Ternana vs Napoli Femminile 1-2,15,698,2,@AlfiDin67,Brave ragazze ora concentrate x la gara di ritorno,0,Napoli Femminile
Napoli Femminile vs Milan 1-1,0,221,1,@lucaromano7243,V'è andata bene oggi,0,Napoli Femminile
Napoli Femminile vs Como Women 1-1,2,130,1,@antoniodidonato165,FNFS ,0,Napoli Femminile
Napoli Femminile vs Pomigliano 1-1 | Highlights,4,181,1,@antoniodidonato165,FNFS ,0,Napoli Femminile
Napoli Femminile vs Sampdoria 2-0 | Highlights,10,275,5,@serginming7749,Aldilà di Dazn,0,Napoli Femminile
Napoli Femminile vs Sampdoria 2-0 | Highlights,10,275,5,@serginming7749,Non capisco come il calcio professionistico femminile non debba avere un telecronista...Forza Napoli Femminile❤,0,Napoli Femminile
Napoli Femminile vs Sampdoria 2-0 | Highlights,10,275,5,@serginming7749,Grandiose ❤ Resteremo in Seria A❤,0,Napoli Femminile
Napoli Femminile vs Sampdoria 2-0 | Highlights,10,275,5,@TommasoAprile,❤ bravissime sempre. Cosi😊,0,Napoli Femminile
Napoli Femminile vs Sampdoria 2-0 | Highlights,10,275,5,@antoniodidonato165,FNFS,0,Napoli Femminile
Como Women vs Napoli Femminile 1-1 | Highlights,4,239,1,@TommasoAprile,Brave. Ma dovete fare di più forza Napoli (non scoraggiatevi).,0,Napoli Femminile
Juventus vs Napoli Femminile 4-1 | Highlights,5,232,1,@antoniodidonato165,FNFS,0,Napoli Femminile
Napoli Femminile vs Pomigliano 2-0 | Highlights,9,225,1,@miziocapotosto211,Ottima vittoria vendicata l'andata,0,Napoli Femminile
Sassuolo vs Napoli Femminile 2-0 | HIghlights,0,186,1,@TommasoAprile,Cambiare allenatore 😮❤,0,Napoli Femminile
