Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel
🎬 Son plus beau souvenir? Son film préféré? Mylène Chavas se prête au jeu des questions ! 💙,13,1157,2,@Abderlebig22,Le front Zeubi elle a mangé le synthétique,1,Paris FC
La première interview de Sheika Scott !,14,337,4,@Toniopfc,Bienvenue ❤,1,Paris FC
La première interview de Sheika Scott !,14,337,4,@poutou1554,"Ouverture prioritaire des abonnements : jeudi 19 juin.

Cette phase est uniquement réservée aux abonnés des deux dernières saisons.
Vous avez jusqu’au dimanche 22 juin inclus pour bénéficier de cette priorité.... Nous sommes le 24/06 et il est toujours impossible de s'abonné sur leur site. Avez-vous des infos?",0,Paris FC
La première interview de Sheika Scott !,14,337,4,@litogor,Bienvenue au Paris FC 👍,1,Paris FC
La première interview de Sheika Scott !,14,337,4,@Tour62Eiffel,Bienvenue à Paris. J'espère que vous y serez heureuse,1,Paris FC
Mylène Chavas est Parisienne : son interview !,21,351,1,@markplimmer9232,Bienvenue au Paris FC !,0,Paris FC
Les 17 buts de JP Krasso en 5 minutes !,45,877,4,@yuanyuanwang-d7h,allez krasso！！！！❤,0,Paris FC
Les 17 buts de JP Krasso en 5 minutes !,45,877,4,@soryibrahimfadiga6714,Vraiment  merci krasso pour  la  canne,1,Paris FC
Les 17 buts de JP Krasso en 5 minutes !,45,877,4,@MoniqueKrasso,Formidable ❤,0,Paris FC
Les 17 buts de JP Krasso en 5 minutes !,45,877,4,@Toniopfc,Merci Krasso❤❤❤,1,Paris FC
🎙️ Découvrez Lorena Azzaro notre nouvelle recrue ! 💙,40,1575,1,@Jayzworldww3,Paris FC,1,Paris FC
Célina Ould Hocine prolonge au Paris FC !,23,438,3,@VinyVINY-od3px,"Bravo au PFC qui après une très belle saison en LDC l'année dernière continue à progresser encore cette année avec une coupe de France à la clé. Quant à Célina ça fait un bon moment qu'elle mérite sa place chez les Bleues : contrôle du ballon, intelligence du jeu, investissement, qualité des passes : tout y est.",1,Paris FC
Célina Ould Hocine prolonge au Paris FC !,23,438,3,@didierboutet2494,"Célina en EDF, tu as ta place. J'adore et je suis le foot féminin depuis plus de 15ans. Tous les championnats mondiaux m'intéressent.  Ça monte en puissance chez les filles, génial.",2,Paris FC
Célina Ould Hocine prolonge au Paris FC !,23,438,3,@djamelbouras138,Elle a l'air d'être une bonne personne!!!,1,Paris FC
Lorena Azzaro est Parisienne : sa première interview !,22,763,1,@Morkaisaga,🥳🥳,0,Paris FC
𝟏𝟕 𝐬𝐚𝐢𝐬𝐨𝐧𝐬. 𝟒𝟑𝟑 𝐦𝐚𝐭𝐜𝐡𝐬. 𝟐𝟏𝟎 𝐛𝐮𝐭𝐬.,33,1626,1,@Opsurvie,Et dire qu'elle a gagné la coupe de France après toutes ces années,0,Paris FC
La première interview de la nouvelle Parisienne Anaële Le Moguédec !,36,856,4,@carlelo6882,Bonne saison 🎉🎉🎉,0,Paris FC
La première interview de la nouvelle Parisienne Anaële Le Moguédec !,36,856,4,@litogor,Bienvenue et bonne saison à elle 🤞,1,Paris FC
La première interview de la nouvelle Parisienne Anaële Le Moguédec !,36,856,4,@delattremartial,pour moi c'est pas une bonne recrue elle va rien apporter à l'équipe pour moi,1,Paris FC
La première interview de la nouvelle Parisienne Océane Picard !,48,1065,6,@carlelo6882,Excellente recrue 🎉🎉🎉🎉🎉🎉,1,Paris FC
La première interview de la nouvelle Parisienne Océane Picard !,48,1065,6,@DenisREY-i4v,"Et dans tout ça, tu penses à l'équipe de France quand même ???",0,Paris FC
La première interview de la nouvelle Parisienne Océane Picard !,48,1065,6,@valmontvicomte8156,Excellente recrue pour le PFC. Bienvenue à elle,1,Paris FC
La première interview de la nouvelle Parisienne Océane Picard !,48,1065,6,@delattremartial,yes trop content je suis fan de cette joueuse c'est vraiment le bon club pour elle,0,Paris FC
La première interview de la nouvelle Parisienne Océane Picard !,48,1065,6,@Toniopfc,Bienvenue 🙏 ❤,2,Paris FC
"🎙️ Un petit mot de la part d'Océane Picard, notre première arrivée de l'été !",42,1869,1,@JeanMichelCaniez,"Bonsoir, c'est une excellente joueuse. Allez les filles du Paris fc. Cordialement.",1,Paris FC
Paris Saint-Germain vs Paris FC : Le résumé de la demi-finale,17,1478,2,@SP95,Allez Paris,0,Paris FC
Paris Saint-Germain vs Paris FC : Le résumé de la demi-finale,17,1478,2,@San7y_fdz,Pechege,0,Paris FC
Paris FC vs AC Ajaccio [2-0] : Le résumé vidéo !,56,1722,3,@diablo.66t,👏🏻,0,Paris FC
Paris FC vs AC Ajaccio [2-0] : Le résumé vidéo !,56,1722,3,@syahrulmuchtarom3202,SEMANGAT!!!! KITA LIBAS PSG!!! Certifié Paris,1,Paris FC
Paris FC vs AC Ajaccio [2-0] : Le résumé vidéo !,56,1722,3,@Ronaldsci,Sign Anthoni (GK). New Alisson Becker,0,Paris FC
Paris FC - AC Ajaccio : La conf' d'après-match du coach,29,429,2,@BriceTchamou,btchamou number 4 cdm,0,Paris FC
Une Soirée Historique au Grand Rex : Le Paris FC en Ligue 1 !,62,1745,8,@Bongaboi151,0:37 un PSG supporter...?,1,Paris FC
Une Soirée Historique au Grand Rex : Le Paris FC en Ligue 1 !,62,1745,8,@Parisfcfan,Le petit à 01:06 il me tue 😂😂❤❤,3,Paris FC
Une Soirée Historique au Grand Rex : Le Paris FC en Ligue 1 !,62,1745,8,@cesar26.titi.28,Ici c'est le Paris FC ❤,2,Paris FC
Une Soirée Historique au Grand Rex : Le Paris FC en Ligue 1 !,62,1745,8,@Jabador93,Ici c’est Paris ❤,3,Paris FC
Une Soirée Historique au Grand Rex : Le Paris FC en Ligue 1 !,62,1745,8,@robertvalles96,"J’aurais aimé être là. Le Paris FC en ligue 1, c’est fait !",3,Paris FC
Une Soirée Historique au Grand Rex : Le Paris FC en Ligue 1 !,62,1745,8,@Parisfcfan,On a retourné le grand rex !!!,6,Paris FC
"Ensemble, on l’a fait. 🔵⚪️",96,1076,10,@hyogav866,"Bravo, il faudra un bon recrutement car ce serait bête de redescendre rapidement car c'est suffisamment dur d'obtenir la montée.  J'ai hâte des PSG-PFC .",1,Paris FC
"Ensemble, on l’a fait. 🔵⚪️",96,1076,10,@tontodavid5149,👏👏👍 bravo on ai en ligue1,1,Paris FC
"Ensemble, on l’a fait. 🔵⚪️",96,1076,10,@MADMAX-bd3yk,Ensemble avec ☝️ maxime lopez 🐟☝️ l ex marseillais 👿👑☝️ le cousin a rabiot 👿👑,1,Paris FC
"Ensemble, on l’a fait. 🔵⚪️",96,1076,10,@Parisfcfan,❤❤❤,2,Paris FC
"Ensemble, on l’a fait. 🔵⚪️",96,1076,10,@soso_bss,Bravo à vous j’espère voir un beau derby parisien 😮,5,Paris FC
"Ensemble, on l’a fait. 🔵⚪️",96,1076,10,@zatoichi8745,"Après une dernière cruelle déception l'an dernier, on l'espérait sans trop y croire en début de saison et au fur et à mesure, l'impensable est devenu de plus en plus possible, jusqu'à la semaine passée où le miracle a eu lieu...

Bravo et merci à toute l'équipe, vous avez été incroyables. 💙🤍
Cette montée vient couronner le travail de tant d'années, mais ce n'est qu'un début, le plus dur commence !

En attendant, on va venir faire la fête tous ensemble demain ! 🔥",2,Paris FC
"Ensemble, on l’a fait. 🔵⚪️",96,1076,10,@robertvalles96,"Ouiiiiii ! On y est enfin, en ligue 1. J’ai hâte que le mois d’août arrive, pour la reprise. 💙 Paris fc 💙",4,Paris FC
"Ensemble, on l’a fait. 🔵⚪️",96,1076,10,@Gaoufou,Bravo !!! On l'a fait !!!!,7,Paris FC
"Ensemble, on l’a fait. 🔵⚪️",96,1076,10,@flolm22,"On l’a fait peut-être mais bon il va quand même falloir sérieusement renforcer l’équipe pour ne pas que la prochaine saison en L1 se transforme en torture psychologie aussi bien pour l’équipe que pour les supporters. 
Cette équipe est certes montée en L1 mais elle a quand même démonté, cette saison, malgré la montée, des faiblesses face à des adversaires a priori largement prenables. Ces même faiblesses en L1 il faudra absolument les corrigées car la moindre erreur risque de coûter très cher au club. Bien plus cher qu’en L2.",1,Paris FC
FC Martigues - Paris FC : La conf' d'après-match du coach !,29,568,2,@Parisfcfan,Merci coach !!,4,Paris FC
FC Martigues - Paris FC : La conf' d'après-match du coach !,29,568,2,@arnaudmathieu480,"Merci coach pour ces deux saisons et cette montée historique ! On a hâte de voir le club évoluer en L1, même si on sait que ce sera dur et qu'il faudra batailler à chaque match. Bravo pour ce beau projet de jeu que vous nous proposez.",6,Paris FC
FC Martigues vs Paris FC [1-1] : le résumé du match de la montée !,26,1031,3,@aSKS_pfc,💙🤍,0,Paris FC
FC Martigues vs Paris FC [1-1] : le résumé du match de la montée !,26,1031,3,@chemikerimexil7938,"Lächerlich, Paris FC steigt auf, und keine 100 Fans fahren mit.",1,Paris FC
FC Martigues vs Paris FC [1-1] : le résumé du match de la montée !,26,1031,3,@yelow123321,Bravo au Paris FC ! bienvenue en Ligue 1,3,Paris FC
FC Martigues vs Paris FC  : la conf' d'avant-match du coach,52,1437,9,@poloDhTip,allez allez!!!,1,Paris FC
FC Martigues vs Paris FC  : la conf' d'avant-match du coach,52,1437,9,@prodigy6300,"allez les gars, il faut le prendre, celui-là !!!",1,Paris FC
FC Martigues vs Paris FC  : la conf' d'avant-match du coach,52,1437,9,@lecircassien948,Allez Paris ! Coulez moi ces mangeurs de bouillabaisse périmé,0,Paris FC
FC Martigues vs Paris FC  : la conf' d'avant-match du coach,52,1437,9,@bidule91,De tout cœur avec vous !! Et aller Paris SG ❤💙😜,3,Paris FC
FC Martigues vs Paris FC  : la conf' d'avant-match du coach,52,1437,9,@GuionObjectifL1,Ça se voit il stress et son groupe surement aussi Metz doit mettre la pression c’est mtn ou jamais !,1,Paris FC
FC Martigues vs Paris FC  : la conf' d'avant-match du coach,52,1437,9,@vincentpicart9316,Vous allez le faire allez les gars,5,Paris FC
FC Martigues vs Paris FC  : la conf' d'avant-match du coach,52,1437,9,@pilou75,Gilli paraît très sérieux devant les caméras mais je suis sûr qu’il sera en slip à la fin du match 😂💪,9,Paris FC
FC Martigues vs Paris FC  : la conf' d'avant-match du coach,52,1437,9,@stephaneb44,Lets go les gars,1,Paris FC
Unis pour l'histoire,104,1780,8,@Alpijo-t5e,🔥,0,Paris FC
Unis pour l'histoire,104,1780,8,@CHAOS418,Le derby francilien commencera bientôt la saison prochaine.,2,Paris FC
Unis pour l'histoire,104,1780,8,@tontodavid5149,Allez pfc👏👏👏👏👏💪,1,Paris FC
Unis pour l'histoire,104,1780,8,@rimoferoce5216,"Paris FC c'est ""Certifié Paris"".",7,Paris FC
Unis pour l'histoire,104,1780,8,@Thomas75013,Il faut la victoire à Martigues pour disputer le dernier match l'esprit libéré à Charléty et pouvoir faire la fête.,6,Paris FC
Unis pour l'histoire,104,1780,8,@GOM1NHO,Allez le Paris FC 💙💙,12,Paris FC
Unis pour l'histoire,104,1780,8,@robertvalles96,"Aller ! On peut le faire ! Si on gagne demain contre Martigues, on est en ligue 1. 💙 Paris FC 💙",13,Paris FC
Un match pour l'histoire (bande annonce finale Coupe de France),34,561,1,@delattremartial,allez vous pouvez le faire,0,Paris FC
Rodez AF - Paris FC : la conf' d'après-match du coach,18,436,2,@tontodavid5149,Allez le pfc👏👏,0,Paris FC
Rodez AF - Paris FC : la conf' d'après-match du coach,18,436,2,@LeGrandFoutoir,Merci l'arbitrage retrouve mon debrief du match sur ma chaine LE GRAND FOUTOIR !!!,1,Paris FC
Rodez AF vs Paris FC [1-1] : Le résumé vidéo !,17,893,2,@San7y_fdz,Me hubiera gustado que el París gane el su primer trofeo de segunda división. Felicidades al Lorient 💙💙💙,0,Paris FC
Rodez AF vs Paris FC [1-1] : Le résumé vidéo !,17,893,2,@Parisfcfan,Allez les gars on y est presque maintenant faut finir le travail contre martigues 💙🤍,1,Paris FC
Rodez AF - Paris FC : la conf' d'avant-match du coach,22,519,2,@pilou75,7 points en 3 matchs c’est totalement faisable. Allez les gars !!!,4,Paris FC
Paris FC vs FC Fleury 91 [4-0] : Le résumé de la victoire !,23,1388,2,@Jackson-Sean,ya du beau spectacle,0,Paris FC
Paris FC vs FC Fleury 91 [4-0] : Le résumé de la victoire !,23,1388,2,@bayramsport,https://youtube.com/shorts/dIzDRhHyzyY?si=h3kLCqrP5ieIb0Ns,0,Paris FC
Paris FC - SC Bastia : La conf' d'après-match du coach,16,461,3,@hervemonti1944,victoire ..miraculeuse..,0,Paris FC
Paris FC - SC Bastia : La conf' d'après-match du coach,16,461,3,@hawkins7863,ET PAYER BATTA AUSSI CA A ETE IMPORTANT,0,Paris FC
Paris FC vs SC Bastia [1-0] : Le résumé de la victoire !,26,815,2,@JAldana-c2k,Ya sube Videos deja de ser un patético,0,Paris FC
Paris FC vs SC Bastia [1-0] : Le résumé de la victoire !,26,815,2,@Parisfcfan,C BON ÇA !!! 🔥🔥🔥🔥🔥🔥,1,Paris FC
