Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel,Gender of Sport,Club,Video Popularity,Language,Channel Structure
Aoife Mannion Has Something To Say 🥺,35,282,2,@iandeeley9033,Missing you already! GGMU!,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Has Something To Say 🥺,35,282,2,@WOSOfan-ET7-AR23,Missing you already Aoife 😢😢😢❤❤Go on and shine girl❤❤❤,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@alansmithee8831,"Since Steph Houghton got her coaches qualification with Aoife and seemed impressed, will she be back in that role in future?",0,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@Calebjohnson474,Goodluck Thankyou for your 4 year's of service at Manchester United you will be missed ❤,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@Jack-sc3dn,"She’s a gem, good luck!",4,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@TheCount.,Been a real warrior for the Reds. Thanks n good luck.,3,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@Thelma_7,Thank you for everything❤ All the best for the future,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@chicot11uk,Good luck for the future x,3,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@kerriewalton5789,Good luck aoife best of luck in all u do from here on,3,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@WOSOfan-ET7-AR23,Hope it goes well for you Aoife you’ve been absolutely amazing couldn’t ask for more ❤❤❤❤You’ll be missed by the team and the fans you star player❤❤❤😢😢😢,3,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@damiena7621,Best luck Aoife. You gave everything for the club & as fans we respect that,2,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@DumeGaming,"Best of luck for the future Aoife ,,always giving 100% on the pitch wether CB or RB you will be missed",2,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@julianleejinhwee,Thank you. Best of luck. Take care.,2,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@iandeeley9033,Thanks for everything! GGMU!❤❤❤,2,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@Subpoesia,"I was shocked a few days ago when I heard she was leaving.  Having seen her always give 100% at LSV, and get more games this year, I thought we needed her more.  I hope she gets in with a good side and gets more games for Ireland.  The women's team have, for me, been a reflection of what makes Man Utd great.",2,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@joshuasun-k2w,Best wishes Aoife! We appreciate you,4,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@Kreelin,Ggmu,0,Manchester United Women,Female,Manchester United,Low,tl,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@MavisGodsluv-ko3cg,All the best Aoife ❤,4,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@ayindehabeeblahi,Love you aoife best of luck❤❤now,4,Manchester United Women,Female,Manchester United,Low,en,Seperate
