Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel
The hard work doesn't stop 👊 // Spurs Women,69,1529,1,@lafresadeirapuato,"Hard work, those games have to be won 🙏🤍",0,Tottenham Hotspur Women
An unforgettable debut goal from Olivia ☄️ // Spurs Women,44,1441,1,@michaelfleming5999,"How much did you say we ""stole"" , I mean pay her for",1,Tottenham Hotspur Women
Think fast 😂 // Spurs Women,42,2202,1,@tsthemagnet1645,Yells 3 and headers it right add her face 😂,0,Tottenham Hotspur Women
Double speed ⏩⏱️ // Spurs Women,26,597,1,@BrodieBrandon-n3o,"Come on, you spurs",0,Tottenham Hotspur Women
On set with admin 🤳,55,965,1,@A2activetrap,COMW ON YOU SPURS 🩵🤍,0,Tottenham Hotspur Women
The Coin Fork Challenge returns 😂🍴 // Spurs Women,66,1359,3,@sambren429,situ,0,Tottenham Hotspur Women
The Coin Fork Challenge returns 😂🍴 // Spurs Women,66,1359,3,@Wobbler.exe1,it's the funniest thing i have seen today😂,4,Tottenham Hotspur Women
The Coin Fork Challenge returns 😂🍴 // Spurs Women,66,1359,3,@regalnomad_,Do spurs reply,4,Tottenham Hotspur Women
A hat-trick for the memory books 💫 // Spurs Women,76,1278,1,@lycanoftheunderworldselene,And this season she didn't get any goals in the WSL.This is down to how the manager had us play.Players not used to their strengths.Needs a big improvement next season or it'll be our last in the WSL.,1,Tottenham Hotspur Women
A very special day in the life with Martha Thomas 🎬 // Spurs Women,77,1184,1,@attgig,Woah. Serious twins.,0,Tottenham Hotspur Women
What does it feel like to score a goal? ⚽ // Spurs Women,64,1426,1,@hackercps,Bit jealous of the number of hat tricks 😅,3,Tottenham Hotspur Women
Recreate that photo... 📸 // Spurs Women,65,1790,1,@StickAroundBennett,Too much doing anything but winning football matches,1,Tottenham Hotspur Women
Vibessss 🎉 // Spurs Women,46,1586,1,@StickAroundBennett,Too much energy wasted with stupid training celebrations = no wins in competitions. Bravo girls...,0,Tottenham Hotspur Women
Taking it back to the last training session of the season ⏮️ // Spurs Women,28,967,1,@AngelSmith-b9n,me too love them,0,Tottenham Hotspur Women
Lenna Gunning-Williams pens new deal ✍️ // Spurs Women,73,641,6,@BaileyJunior10,My baller ❤ always got your back lenna,0,Tottenham Hotspur Women
Lenna Gunning-Williams pens new deal ✍️ // Spurs Women,73,641,6,@panjinyimbiri5831,❤❤,1,Tottenham Hotspur Women
Lenna Gunning-Williams pens new deal ✍️ // Spurs Women,73,641,6,@Tooneyandlessirusso-y6e,I wish she came to arsenal,1,Tottenham Hotspur Women
Lenna Gunning-Williams pens new deal ✍️ // Spurs Women,73,641,6,@AvaHardy-c7h,❤,1,Tottenham Hotspur Women
