Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel
"""Larissa ihr Sommer!"" - bei den Wölfinnen! 😂☀️ Hinter den Kulissen beim Dreh mit Martina Hill 💅🎬",316,8835,25,@WobTillIDrop,"Wie cool…
Traurig das so viele nicht mehr dabei sind, vor allem Kathy",0,VfL Wolfsburg
"""Larissa ihr Sommer!"" - bei den Wölfinnen! 😂☀️ Hinter den Kulissen beim Dreh mit Martina Hill 💅🎬",316,8835,25,@PeetRah-gd8hk,"Finds cool, hätte Larissa aber eher beim FC Köln vermutet... (Aber vielleicht gabs hier die schöneren Handtaschen? ;-))",0,VfL Wolfsburg
"""Larissa ihr Sommer!"" - bei den Wölfinnen! 😂☀️ Hinter den Kulissen beim Dreh mit Martina Hill 💅🎬",316,8835,25,@IbnIslamiyya16,"„Kommt Girls, lasst uns Fussi spielen!“ - wie süß ist dieser Kommentar von Janina bitte gesagt😂❤️",12,VfL Wolfsburg
"""Larissa ihr Sommer!"" - bei den Wölfinnen! 😂☀️ Hinter den Kulissen beim Dreh mit Martina Hill 💅🎬",316,8835,25,@Goldenfan1986,Brutal schwer dabei ernst zu bleiben 😂,3,VfL Wolfsburg
"""Larissa ihr Sommer!"" - bei den Wölfinnen! 😂☀️ Hinter den Kulissen beim Dreh mit Martina Hill 💅🎬",316,8835,25,@horstfritz6344,"Super, Mädels, ihr seid ganz lieb!❤🎉😊",1,VfL Wolfsburg
"""Larissa ihr Sommer!"" - bei den Wölfinnen! 😂☀️ Hinter den Kulissen beim Dreh mit Martina Hill 💅🎬",316,8835,25,@Ziaphira,"Irgendwie wirkt alles arg gestellt und künstlich 🤨
Das kann doch nicht der Sinn der Veranstaltung gewesen sein.",0,VfL Wolfsburg
"""Larissa ihr Sommer!"" - bei den Wölfinnen! 😂☀️ Hinter den Kulissen beim Dreh mit Martina Hill 💅🎬",316,8835,25,@patrickbilke,"0:20 ""Wir freuen uns."" :D",3,VfL Wolfsburg
"""Larissa ihr Sommer!"" - bei den Wölfinnen! 😂☀️ Hinter den Kulissen beim Dreh mit Martina Hill 💅🎬",316,8835,25,@Paul0157,Vivi 😍❤️,0,VfL Wolfsburg
"""Larissa ihr Sommer!"" - bei den Wölfinnen! 😂☀️ Hinter den Kulissen beim Dreh mit Martina Hill 💅🎬",316,8835,25,@fashionfour217,"Ich musste bei dem Video direkt an das Zimmerduell von Kathy und Lisa denken bzgl. einer Knallerfrauen Wölfe-Edition. Sowie es aussieht, hatten Kathy und auch die anderen sehr viel Spaß.",6,VfL Wolfsburg
"""Larissa ihr Sommer!"" - bei den Wölfinnen! 😂☀️ Hinter den Kulissen beim Dreh mit Martina Hill 💅🎬",316,8835,25,@elkekremer5868,😂😂😂,2,VfL Wolfsburg
"""Larissa ihr Sommer!"" - bei den Wölfinnen! 😂☀️ Hinter den Kulissen beim Dreh mit Martina Hill 💅🎬",316,8835,25,@Matteblak,She could have just stayed as coach since tommy stroot abandoned the team anyways,0,VfL Wolfsburg
"""Larissa ihr Sommer!"" - bei den Wölfinnen! 😂☀️ Hinter den Kulissen beim Dreh mit Martina Hill 💅🎬",316,8835,25,@janmeyer8844,Sehe gut gemacht 😊🎉,1,VfL Wolfsburg
"""Larissa ihr Sommer!"" - bei den Wölfinnen! 😂☀️ Hinter den Kulissen beim Dreh mit Martina Hill 💅🎬",316,8835,25,@DjNicki24,Herzlich Willkommen in Wolfsburg,1,VfL Wolfsburg
Was serviert uns der Spielplan? 😂,134,2830,1,@19Anonym45,💚🤍,2,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@Nordtroll,Mit ihrer Geschwindigkeit und Wurfkraft hätte sie alternativ auch eine tolle Siebenkämpferin in der Leichtathletik werden können 😊Aber Tore schließen im Fußball macht natürlich viel Spaß. Alles Gute Svendis für die weitere Karriere in der NWSL und mit der isländischen Nationalmannschaft.,0,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@horstfritz6344,"Danke, Sveindis! 💚💚",0,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@TotoHarry1000,Zum kotzen wer da alles geht derzeit....    👎🏼👎🏼👎🏼👎🏼,2,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@MrIcelander,"Such a 'sunshine & sparkles' she is, always looking for the _positive_ in everything & everyone 🤩😎",0,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@BoutafogoPrince,هند مومباي دلهي بالصحة لهنا ماكلة بورطابل حج عمرة  .,0,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@janmeyer8844,Danke Svendis für immer eine Wölfin im Herzen😊💚🐺,2,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@FCBVIKING1996,Ihr Abgang tut mit am meisten Weh zusammen mit Lynn und Jule hoffe du kommst in ein Paar Jahren zurück,2,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@DjNicki24,Danke daß du da. Warst,3,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@jenshoffmann155,Danke Sveindis!. Schade das du gehst.,1,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@timtahler3078,Warum gehen beim VFL alle?????,2,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@Cclofte,Alles Gute ❤❤❤,1,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@daniellevysaccountant,Neiinnnnnnn 😢,0,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@nandino69,"Ich habe Sveindis immer gerne spielen sehen. Viel Glück in CA. So viele gute Spielerinnen haben Wolfburg verlassen, mir wird Angst und Bange 💚",4,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@sleepwellbeast,Einwurf-Queen forever 💚,6,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@woelfi45,"Sehr schade, dass sie uns verlässt. Tolle Spielerin und tolle Teamkollegin. Wünsche ihr viel Erfolg in LA. 👍🏻💚",9,VfL Wolfsburg
"Danke, Sveindis! 💚 - Abschied vom VfL Wolfsburg! | Jonsdottir Best Of",156,6747,19,@GönnDirGossip,Ronaldo or Messi: svendis❤❤❤,2,VfL Wolfsburg
"Lecker, lecker, Jakub 🇵🇱🍽️",95,3437,3,@moritzweber9315,Pierogi sind viel besser als Kartoffeln,1,VfL Wolfsburg
"Lecker, lecker, Jakub 🇵🇱🍽️",95,3437,3,@19Anonym45,🐺🐺,3,VfL Wolfsburg
"Lecker, lecker, Jakub 🇵🇱🍽️",95,3437,3,@HSCFan1606,Sympathisch 💚🤍,3,VfL Wolfsburg
"Dress up, Jakub Zielinski 💚🤍🐺🇵🇱",174,5906,5,@19Anonym45,🐺🐺,3,VfL Wolfsburg
"Dress up, Jakub Zielinski 💚🤍🐺🇵🇱",174,5906,5,@TheTacticleThird,Willkommen in Wolfsburg 💚🤍,4,VfL Wolfsburg
"Dress up, Jakub Zielinski 💚🤍🐺🇵🇱",174,5906,5,@20J_WOB,Ty kurwaaaaa❤😂🟩⬜️🟩🇵🇱🇵🇱🇵🇱,0,VfL Wolfsburg
"Dress up, Jakub Zielinski 💚🤍🐺🇵🇱",174,5906,5,@Alex-fd6yj,Willkommen beim vfl wolfsburg 💚,6,VfL Wolfsburg
"Dress up, Jakub Zielinski 💚🤍🐺🇵🇱",174,5906,5,@daniellevysaccountant,"Indian song in a wolfsburg short wasn't on my bingo card of 2025 😅, greetings from 🇮🇳",5,VfL Wolfsburg
"Danke, Merle! 🧤💚 Die besten Momente unserer #1 Keeperin im VfL-Trikot | 2022-2025 💪",305,12386,38,@y4bbenny,Es rächt sich das der VfL so mit Merle umgegangen ist. Real Madrid wird Meister und der VfL kann versuchen mit Bayern mitzuhalten. Merle Frohms hat die Champions League gewonnen zweimal mit dem VfL und war nichtmal bzw Grade volljährig. Merle kam wieder als der VfL sie brauchte. Merle ist mit verantwortlich das der VfL gegen Bayern noch eine Chance hatte. Im Umbruch hättest du Merle gebraucht die wahrscheinlich nach sveni und Alex Capitänin gewesen wäre.,0,VfL Wolfsburg
"Danke, Merle! 🧤💚 Die besten Momente unserer #1 Keeperin im VfL-Trikot | 2022-2025 💪",305,12386,38,@StefanB-vv5eu,"Bitte hört doch mit dieser Heuchelei auf. Der VFL hat Merle so dermassen räudig behandelt, dass dieses unwürdige Verhalten des Vereines so ziemlich einzigartig in der Fussballgeschichte ist. Freue mich schon auf den 17. August wenn Merle in der Alten Försterei mit Real zu Gast ist.",3,VfL Wolfsburg
"Danke, Merle! 🧤💚 Die besten Momente unserer #1 Keeperin im VfL-Trikot | 2022-2025 💪",305,12386,38,@jorgsohnemann3233,"Te deseo mucho suerte en Madrid, señora Frohms.",1,VfL Wolfsburg
