video_id,comment
DjGz9s60R9I,Enhorabuena al Badalona por su gran partido. En cada partido que juega el Madrid hay una jugadora del Varcelona silbato en ristre
DjGz9s60R9I,Only 300 people turned up to see this ????
DjGz9s60R9I,"even in women's football, the referee is against Madrid, it's so sad :("
DjGz9s60R9I,HALA MADRID Y NADA MAS!!!
DjGz9s60R9I,Real Madrid 4:2 Levante
DjGz9s60R9I,Real magic
DjGz9s60R9I,"When it’s not Linda it’s Alba, or Eva, Lakrar, Athanea, Weir - they’re beginning to play like a solid team from top to bottom in the last leg of the Liga F season,  ;-)"
DjGz9s60R9I,"Una verdadera vergüienza el arbitraje!! Es inadmisible que esta mujer siga arbitrando en Liga F, merece ser inhabilitada por tramposa. Espero que haya una queja formal. Y ni siquiera soy seguidora del Real Madrid pero es evidente que la árbitra les ha perjudicado claramente, en todo momento. Una injusticia total!! Por suerte tienen a una grande en toda su magnitud, como es Alba, para hacer justicia!"
DjGz9s60R9I,Hala Madrid🤍🤍🤍🦾🥺
DjGz9s60R9I,Même chez les femmes c’est comme ça l’arbitrage 😢
DjGz9s60R9I,Roban ya en femenino sin ninguna verguenza 😂😂 en lugar de madrid ya es mejor llamarles trampas
DjGz9s60R9I,lo del arbitraje ha sido terrorífico. Contra todos. Hala Madrid!
DjGz9s60R9I,Dia ótimo de Yasmim e Alba Redondo parabéns 🤍🖤
DjGz9s60R9I,Hacía tiempo que no veía que le atracaran al RM femenino... que creo que es la primera vez en 4 años y medio que llevo viéndolas: un penalty a Eva Navarro y el gol anulado aún no sé por qué 🫨
DjGz9s60R9I,"¡Qué vergüenza de arbitraje! Nos roban un penalti, nos roban un córner, nos roban un gol de Athenea... ¿Es una broma? Pues que se jodan las árbitras, hemos ganado de todas formas. HALA MADRID"
DjGz9s60R9I,Who has paid the referee?
DjGz9s60R9I,Contra todos ¡HALA MADRID!❤👏👏🤍🤍🤍🤍💪💪
DjGz9s60R9I,"Athenea's GOLAZO should NOT have been cancelled. There is absolutely no foul whatsoever before she scores, the ref literally invented a foul... Alba doesn't control the ball with her hand, nor does Yasmim foul the Badalona player. Even the English commentator was left without words at such an idiotic decision. Let me add, there was also a penalty on Eva which wasn't given and a yellow shown to Athenea where she didn't even touch the Badalona player... it must be said that all game they were flopping like they were being shot from a cannon."
Wx6ihpqjzpg,"Barca Men’s team - 🗿
Barca women’s team - 💀"
Wx6ihpqjzpg,Rolfo❤
Wx6ihpqjzpg,"It's been awhile since I watched barca highlights.  I forgot how great they are. As far as I can tell, there is no one better in Women's football at Club level.  That does not mean they will win every game, but overall, there is none better."
Wx6ihpqjzpg,"This Barcelona team, is amazing"
Wx6ihpqjzpg,Our ladies can score Man United
Wx6ihpqjzpg,this team can easily beat current Man Utd male squad.
Wx6ihpqjzpg,vamos!!!
Wx6ihpqjzpg,Tienes pita?🎗
Wx6ihpqjzpg,"💙❤️🙏🏿ORGULHO BLAUGRANA, QUE DEUS AS ABENÇOE ❤"
Wx6ihpqjzpg,Ya es normal meterles la manito a cualquiera equipo blanco.
Wx6ihpqjzpg,Viva barca ✌️
Wx6ihpqjzpg,is this same real Madrid or dif Madrid?
Wx6ihpqjzpg,Chocolate Barça...!!!😋😋😋
Wx6ihpqjzpg,Saya dari indonesian bantu chanel apa apa yang menanyangkan barcelona live😢
Wx6ihpqjzpg,"Mavi leon mvp, not lopez"
Wx6ihpqjzpg,😂😂😂❤❤❤
Wx6ihpqjzpg,Viva barca❤
Wx6ihpqjzpg,Great match💙❤️💙❤️
Wx6ihpqjzpg,"What a goal from Lopez...Barca femini dominated and she just run a lone on the top..Alexia, Bonmati, Pina ,Eva, Lopez, Graham ❤❤❤❤Bravo Barca"
Wx6ihpqjzpg,what a free kick from mapi! ❤
Wx6ihpqjzpg,This girls will always deliver ❤
Wx6ihpqjzpg,"Mapi Leon was the Woman of the Match. Her directing the offense was amazing. Her goal and her brilliant passing. She passed one to Rolfo that was superb. Rolfo had a great goal, but she couldn't dribble past anyone and she was more likely to lose the ball than doing anything with it. She's been terrible all season. Last season when Rolfo was injured, Ona took control of that side and was spectacular. This season with Rolfo being reinstated and Ona on the other side has been awful. That's the coach's fault. Jana had the best game I've seen her play. Surprisingly strong and confident. Bonmati and Kiko were two others that had a great match:)"
Wx6ihpqjzpg,Schertenleib moving her hair out of the way before scoring 🥶
Wx6ihpqjzpg,"Hello, does anyone know what channel is broadcasting women's soccer on TV?"
Wx6ihpqjzpg,António Lomato!
Wx6ihpqjzpg,I told them don’t wear white jersey against Barcelona but they dent listen.🤦‍♂️🤦‍♂️
Wx6ihpqjzpg,vicky lopezzz
Wx6ihpqjzpg,a little keeper in a big goal :)
Wx6ihpqjzpg,Como la toca Mapi 😏
Wx6ihpqjzpg,"Y eso que no están algunas titulares, mamita lo que está jugando el equipo femenino. Sigan así cracks!!!"
Wx6ihpqjzpg,❤❤❤❤❤
iA70sfOTXQ8,Bello vincere al Park su gentile omaggio di Durante. Ma non sarà facile al ritorno.
iA70sfOTXQ8,Lehman out the squad?
iA70sfOTXQ8,Terzo goal Juve assurdo.....
iA70sfOTXQ8,"boattin un disastro. il primo gol della fiorentina arriva da un suo assist nel tantivo di respingere un tiro che andava a 2 all'ora e sarebbe stato parato a occhi chiusi. Fortunatamente poi c'è stato anche un gollonzo a favore, grazie al portiere avversario"
iA70sfOTXQ8,Porque nunca meten a Alisha Lehmman?
MuKdkT4uTJ0,Sagenhaft danke an die ganze Mannschaft
MuKdkT4uTJ0,Frankfurts Torfrau hat schon für Wolfsburg gespielt... 😜
MuKdkT4uTJ0,"Gut gemacht Wölfinninen, Congrats. Aber mir fehlt Merle!
🐺⚽💚👸🏾🥇👸💚⚽🐺"
8JogfECXWQE,Goalazooooooooooooooo
cFcN1Y12fyE,"a rigged game, everything has been fixed, planned"
cFcN1Y12fyE,"Nenek marta tetap tampil baik , dia masih prima😢"
cFcN1Y12fyE,😮
-dkdO6HwkCw,Was ist mit Erikson? Nicht mal mehr im Kader!
-dkdO6HwkCw,Tabellenspitze 😃
Al-VY9kFTfI,Why isn't Alisha Lehmann not playing?
