video_id,comment
DjGz9s60R9I,Only 300 people turned up to see this ????
DjGz9s60R9I,"even in women's football, the referee is against Madrid, it's so sad :("
DjGz9s60R9I,"When it’s not Linda it’s Alba, or Eva, Lakrar, Athanea, Weir - they’re beginning to play like a solid team from top to bottom in the last leg of the Liga F season,  ;-)"
DjGz9s60R9I,Who has paid the referee?
DjGz9s60R9I,"Athenea's GOLAZO should NOT have been cancelled. There is absolutely no foul whatsoever before she scores, the ref literally invented a foul... Alba doesn't control the ball with her hand, nor does Yasmim foul the Badalona player. Even the English commentator was left without words at such an idiotic decision. Let me add, there was also a penalty on Eva which wasn't given and a yellow shown to Athenea where she didn't even touch the Badalona player... it must be said that all game they were flopping like they were being shot from a cannon."
Wx6ihpqjzpg,"Barca Men’s team - 🗿
Barca women’s team - 💀"
Wx6ihpqjzpg,"It's been awhile since I watched barca highlights.  I forgot how great they are. As far as I can tell, there is no one better in Women's football at Club level.  That does not mean they will win every game, but overall, there is none better."
Wx6ihpqjzpg,"This Barcelona team, is amazing"
Wx6ihpqjzpg,Our ladies can score Man United
Wx6ihpqjzpg,this team can easily beat current Man Utd male squad.
Wx6ihpqjzpg,is this same real Madrid or dif Madrid?
Wx6ihpqjzpg,Great match💙❤️💙❤️
Wx6ihpqjzpg,"What a goal from Lopez...Barca femini dominated and she just run a lone on the top..Alexia, Bonmati, Pina ,Eva, Lopez, Graham ❤❤❤❤Bravo Barca"
Wx6ihpqjzpg,what a free kick from mapi! ❤
Wx6ihpqjzpg,This girls will always deliver ❤
Wx6ihpqjzpg,"Mapi Leon was the Woman of the Match. Her directing the offense was amazing. Her goal and her brilliant passing. She passed one to Rolfo that was superb. Rolfo had a great goal, but she couldn't dribble past anyone and she was more likely to lose the ball than doing anything with it. She's been terrible all season. Last season when Rolfo was injured, Ona took control of that side and was spectacular. This season with Rolfo being reinstated and Ona on the other side has been awful. That's the coach's fault. Jana had the best game I've seen her play. Surprisingly strong and confident. Bonmati and Kiko were two others that had a great match:)"
Wx6ihpqjzpg,Schertenleib moving her hair out of the way before scoring 🥶
