video_id,comment,author,like_count,published_at
iMkZ84zYras,"Ronaldo is Tough, not like messy",@jacket2486,0,2025-04-28T06:14:26Z
iMkZ84zYras,Sori,@SandraMbugua-d4g,0,2025-04-28T03:57:50Z
iMkZ84zYras,Fuck yeah Ronaldo is stronger,@SanjaySanjay-k3k8o,0,2025-04-28T02:54:26Z
iMkZ84zYras,Guys spread the word I think Georgina just wants his money comment if you think the same way,@RapGod-h9b,0,2025-04-27T20:43:10Z
iMkZ84zYras,All this is fake except for the first part,@Itzmonixzzz,0,2025-04-27T19:47:36Z
iMkZ84zYras,But both are still goats,@dream_bear13,0,2025-04-27T17:54:58Z
iMkZ84zYras,Ronaldo that's bad you never had a player on the field I'm sad you made me sad 😭😭😭😢 you broke my heart ❤️,@LeahFeza-p5d,0,2025-04-27T17:48:59Z
iMkZ84zYras,Messi vs Ronaldo is in different teams,@AyshabiP-v3d,0,2025-04-27T16:23:41Z
iMkZ84zYras,BRUH THIS IS FAKE,@Yrb_Animations,0,2025-04-27T16:16:05Z
iMkZ84zYras,Messi waste💀☠️💀☠️💀☠️💀☠️👻💀☠️☠️💀💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩,@Cookiedookiesmookie,0,2025-04-27T14:34:36Z
iMkZ84zYras,I NEVER MESS WITH RONALDO,@amarirucker670,0,2025-04-27T13:28:19Z
iMkZ84zYras,ILOVERONALDO🐐,@georgebarrera,0,2025-04-27T13:20:27Z
iMkZ84zYras,🎉#ronaldojunior is very taf futbolr,@MDNAZRULISLAMIslam-b6h,0,2025-04-27T13:17:43Z
iMkZ84zYras,":Ronaldo 
:Messi
Messi and Ronaldo are friends
:why Ronaldo 
:Messi say sorry
: Georgina Ronaldo oh no
:Ronaldo I'm bleeding 
:Messi free kick 
:hits Ronaldo on the face
:opponents 
:Ronaldo like 
:Messi subscribe 😊",@Eggieol-l4g,1,2025-04-27T13:12:14Z
iMkZ84zYras,In football Ronaldo is my mentor,@DamarisMutuku-x7v,0,2025-04-27T13:03:46Z
iMkZ84zYras,Bro I thought Messi and Ronaldo were freinds so it has to be fake click here if you think its fake,@akemichuhiro2281,0,2025-04-27T12:15:59Z
iMkZ84zYras,Messi didn’t laugh he came over anded apologized,@tjjbrown20,0,2025-04-27T11:47:37Z
iMkZ84zYras,🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹,@richachettrigurung7773,0,2025-04-27T11:26:41Z
iMkZ84zYras,Bro keeps pulling random stories out of his ass😂💀,@Reecewalshfan,0,2025-04-27T11:17:07Z
iMkZ84zYras,I'm not those the goat goat,@SoutheastExpress,0,2025-04-27T11:09:25Z
iMkZ84zYras,Ronaldo is the goat 🐐,@JosephBeukes-s6s,1,2025-04-27T08:29:43Z
iMkZ84zYras,messi suck he laghfed,@teddysmastervideos5270,0,2025-04-27T08:17:27Z
iMkZ84zYras,"😢😢😢😢
Ronald ❤❤❤❤❤",@ChinthakaPerera-w9l,0,2025-04-27T08:06:12Z
iMkZ84zYras,Meso no Ronaldo yes❤❤❤7777,@nenadkalanjos2762,0,2025-04-27T07:49:08Z
iMkZ84zYras,Ronaldo I like you,@MuhammadNasrulAbdullahYps,0,2025-04-27T07:40:41Z
iMkZ84zYras,Suiii,@mridulatdc,0,2025-04-27T07:26:51Z
iMkZ84zYras,Ronaldo is the oldest world strong boy in the world,@SrimnjNth,0,2025-04-27T06:18:45Z
iMkZ84zYras,Ronaldo 👍 Messi👍,@arjanbergado9178,0,2025-04-27T05:41:41Z
iMkZ84zYras,Messi is the worst boooooo,@flyinglindyick,0,2025-04-27T05:13:03Z
iMkZ84zYras,Ronaldo vs messi,@JholynBistoni-s2w,0,2025-04-27T04:36:37Z
iMkZ84zYras,Talking him still doesn’t stop the goat 🔥😮‍💨🐏,@DANIEL-l4v2y,0,2025-04-27T04:16:38Z
iMkZ84zYras,"Stop the beef of who’s better out of Messi and Ronaldo their both very good and talented ❤
Their both the goats alongside Neymar jr",@SubtoPHENOMIND-123abc,1,2025-04-27T00:13:35Z
iMkZ84zYras,When are you not your friend,@Heidi-mg9se,1,2025-04-26T23:22:33Z
iMkZ84zYras,Ronaldo is best,@hasnathnamath2140,0,2025-04-26T21:24:06Z
iMkZ84zYras,"If I were you, Ronaldo needs to chill😡",@mikeetherington4937,0,2025-04-26T20:26:31Z
iMkZ84zYras,Ewww,@Joan_gamerX,0,2025-04-26T20:16:47Z
iMkZ84zYras,You can't stop the goat 🇵🇹🇵🇹🇵🇹🇵🇹👉👉🤑🤑 🔥🔥🔥🔥🔥,@PiperTaylor-j2k,0,2025-04-26T20:13:02Z
iMkZ84zYras,Siuuuuuuuuu,@MaoneiMoyo,0,2025-04-26T19:42:33Z
iMkZ84zYras,Another I'm a big fan I will support you in your in your tik Tok,@ParajDavis,0,2025-04-26T18:18:54Z
iMkZ84zYras,Ok no one can stop Ronaldo. But Messi did not hit robldo and start to laugh. Stop the cap😊,@rukhsanabano8414,0,2025-04-26T18:01:15Z
iMkZ84zYras,Cr7,@WestleyBlack-m3k,0,2025-04-26T17:28:32Z
iMkZ84zYras,Messi you're the worst,@RaulCruz-i5s,0,2025-04-26T15:50:05Z
iMkZ84zYras,Message you're the worst,@RaulCruz-i5s,0,2025-04-26T15:49:50Z
